L3(도메인),[AS-IS] L5 Name,[AS-IS] L6 Name,Activity_ID,[TO-BE] L5 Name,[TO-BE] L6 Name,Cadence,Output Type,Change_Type,Change_Note
교육,교육 예산 계획 수립,교육 예산 계획 수립 요청 접수 로그 생성,V2-L6-0784,교육 예산 계획 수립,교육 예산 계획 수립 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육 예산 계획 수립,교육 예산 계획 수립 운영계획서 확정,V2-L6-0785,교육 예산 계획 수립,중간 교육 예산 계획 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육 예산 계획 수립,교육 예산 계획 수립 수료 발행,V2-L6-0786,교육 예산 계획 수립,중간 교육 예산 계획 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,교육 예산 계획 수립,성과 리포트 발행,V2-L6-0787,교육 예산 계획 수립,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,내/외부 강사관리,내부 강사 운영 생성,V2-L6-0806,내/외부 강사관리,내/외부 강사관리 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,내/외부 강사관리,외부 강사관리 요청 접수 로그 생성,V2-L6-0807,내/외부 강사관리,중간 내/외부 강사관리 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,내/외부 강사관리,내부 강사 운영 확정,V2-L6-0808,내/외부 강사관리,중간 내/외부 강사관리 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,내/외부 강사관리,내부 강사 운영 발행,V2-L6-0809,내/외부 강사관리,내부 강사 발행,상시,training_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,내/외부 강사관리,외부 강사관리 운영계획서 확정,V2-L6-0810,내/외부 강사관리,외부 강사관리 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,내/외부 강사관리,외부 강사관리 수료 발행,V2-L6-0811,내/외부 강사관리,외부 강사관리 수료 발행,상시,training_status,유지,원본 명칭/구조 유지
교육,내/외부 강사관리,성과 리포트 발행,V2-L6-0812,내/외부 강사관리,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,대상자 모집/선발,대상자 모집 생성,V2-L6-0792,대상자 모집/선발,대상자 모집/선발 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,대상자 모집/선발,선발 요청 접수 로그 생성,V2-L6-0793,대상자 모집/선발,중간 대상자 모집/선발 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,대상자 모집/선발,대상자 모집 확정,V2-L6-0794,대상자 모집/선발,중간 대상자 모집/선발 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,대상자 모집/선발,대상자 모집 발행,V2-L6-0795,대상자 모집/선발,대상자 모집 발행,상시,training_report,유지,원본 명칭/구조 유지
교육,대상자 모집/선발,선발 운영계획서 확정,V2-L6-0796,대상자 모집/선발,선발 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,대상자 모집/선발,선발 수료 발행,V2-L6-0797,대상자 모집/선발,선발 수료 발행,상시,training_status,유지,원본 명칭/구조 유지
교육,대상자 모집/선발,성과 리포트 발행,V2-L6-0798,대상자 모집/선발,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,성과분석/결과보고,성과분석 생성,V2-L6-0828,성과분석/결과보고,성과분석/결과보고 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,성과분석/결과보고,결과보고 요청 접수 로그 생성,V2-L6-0829,성과분석/결과보고,중간 성과분석/결과보고 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,성과분석/결과보고,성과분석 확정,V2-L6-0830,성과분석/결과보고,중간 성과분석/결과보고 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,성과분석/결과보고,성과분석 발행,V2-L6-0831,성과분석/결과보고,성과분석 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,성과분석/결과보고,결과보고 운영계획서 확정,V2-L6-0832,성과분석/결과보고,결과보고 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,성과분석/결과보고,결과보고 수료 발행,V2-L6-0833,성과분석/결과보고,결과보고 수료 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,성과분석/결과보고,성과 리포트 발행,V2-L6-0834,성과분석/결과보고,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,수료 관리 및 경비처리,수료 관리 생성,V2-L6-0835,수료 관리 및 경비처리,수료  및 경비처리 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,수료 관리 및 경비처리,경비처리 요청 접수 로그 생성,V2-L6-0836,수료 관리 및 경비처리,중간 수료  및 경비처리 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,수료 관리 및 경비처리,수료 관리 확정,V2-L6-0837,수료 관리 및 경비처리,중간 수료  및 경비처리 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,수료 관리 및 경비처리,경비처리 수료 발행,V2-L6-0838,수료 관리 및 경비처리,경비처리 수료 발행,상시,training_status,유지,원본 명칭/구조 유지
교육,수료 관리 및 경비처리,경비처리 운영계획서 확정,V2-L6-0839,수료 관리 및 경비처리,경비처리 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,수료 관리 및 경비처리,성과 리포트 발행,V2-L6-0840,수료 관리 및 경비처리,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,수료 관리 및 경비처리,수료 관리 발행,V2-L6-0841,수료 관리 및 경비처리,수료 발행,상시,training_status,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 요청 접수 로그 생성,V2-L6-0813,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 운영계획서 확정,V2-L6-0814,운영준비(인프라 셋팅 등),중간 운영준비(인프라 셋팅 등) 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 수료 발행,V2-L6-0815,운영준비(인프라 셋팅 등),중간 운영준비(인프라 셋팅 등) 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,운영준비(인프라 셋팅 등),성과 리포트 발행,V2-L6-0816,운영준비(인프라 셋팅 등),성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,입과안내/교육생 관리,입과안내 생성,V2-L6-0799,입과안내/교육생 관리,입과안내/교육생  기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,입과안내/교육생 관리,교육생 관리 요청 접수 로그 생성,V2-L6-0800,입과안내/교육생 관리,중간 입과안내/교육생  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,입과안내/교육생 관리,입과안내 확정,V2-L6-0801,입과안내/교육생 관리,중간 입과안내/교육생  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,입과안내/교육생 관리,입과안내 발행,V2-L6-0802,입과안내/교육생 관리,입과안내 발행,상시,notification_doc,유지,원본 명칭/구조 유지
교육,입과안내/교육생 관리,교육생 관리 운영계획서 확정,V2-L6-0803,입과안내/교육생 관리,교육생 운영계획서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,입과안내/교육생 관리,교육생 관리 수료 발행,V2-L6-0804,입과안내/교육생 관리,교육생 수료 발행,상시,training_status,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,입과안내/교육생 관리,성과 리포트 발행,V2-L6-0805,입과안내/교육생 관리,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,전사 교육 전략 기획,전사 교육 전략 기획 요청 접수 로그 생성,V2-L6-0849,전사 교육 전략 기획,전사 교육 전략 기획 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,전사 교육 전략 기획,전사 교육 전략 기획 운영계획서 확정,V2-L6-0850,전사 교육 전략 기획,중간 전사 교육 전략 기획 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,전사 교육 전략 기획,전사 교육 전략 기획 수료 발행,V2-L6-0851,전사 교육 전략 기획,중간 전사 교육 전략 기획 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,전사 교육 전략 기획,성과 리포트 발행,V2-L6-0852,전사 교육 전략 기획,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,강의안 및 교보재 개발,강의안 생성,V2-L6-0842,강의안 및 교보재 개발,강의안 및 교보재 개발 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,강의안 및 교보재 개발,교보재 개발 요청 접수 로그 생성,V2-L6-0843,강의안 및 교보재 개발,중간 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,강의안 및 교보재 개발,강의안 확정,V2-L6-0844,강의안 및 교보재 개발,중간 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,강의안 및 교보재 개발,교보재 개발 수료 발행,V2-L6-0845,강의안 및 교보재 개발,교보재 개발 수료 발행,상시,training_status,유지,원본 명칭/구조 유지
교육,강의안 및 교보재 개발,교보재 개발 운영계획서 확정,V2-L6-0846,강의안 및 교보재 개발,교보재 개발 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,강의안 및 교보재 개발,성과 리포트 발행,V2-L6-0847,강의안 및 교보재 개발,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,강의안 및 교보재 개발,강의안 발행,V2-L6-0848,강의안 및 교보재 개발,강의안 발행,상시,training_report,유지,원본 명칭/구조 유지
교육,선발 규모/선발 전략 수립,선발 규모 생성,V2-L6-0758,선발 규모/선발 전략 수립,선발 규모/선발 전략 수립 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,선발 규모/선발 전략 수립,선발 전략 수립 요청 접수 로그 생성,V2-L6-0759,선발 규모/선발 전략 수립,중간 선발 규모/선발 전략 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,선발 규모/선발 전략 수립,선발 규모 확정,V2-L6-0760,선발 규모/선발 전략 수립,중간 선발 규모/선발 전략 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,선발 규모/선발 전략 수립,선발 규모 발행,V2-L6-0761,선발 규모/선발 전략 수립,선발 규모 발행,상시,training_report,유지,원본 명칭/구조 유지
교육,선발 규모/선발 전략 수립,선발 전략 수립 운영계획서 확정,V2-L6-0762,선발 규모/선발 전략 수립,선발 전략 수립 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,선발 규모/선발 전략 수립,선발 전략 수립 수료 발행,V2-L6-0763,선발 규모/선발 전략 수립,선발 전략 수립 수료 발행,상시,training_status,유지,원본 명칭/구조 유지
교육,선발 규모/선발 전략 수립,성과 리포트 발행,V2-L6-0764,선발 규모/선발 전략 수립,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,선발 전형 운영,선발 전형 운영 요청 접수 로그 생성,V2-L6-0765,선발 전형 운영,선발 전형  기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,선발 전형 운영,선발 전형 운영 운영계획서 확정,V2-L6-0766,선발 전형 운영,중간 선발 전형  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,선발 전형 운영,선발 전형 운영 수료 발행,V2-L6-0767,선발 전형 운영,중간 선발 전형  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,선발 전형 운영,성과 리포트 발행,V2-L6-0768,선발 전형 운영,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,양성경비/처우기준,양성경비 생성,V2-L6-0769,양성경비/처우기준,양성경비/처우기준 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,양성경비/처우기준,처우기준 요청 접수 로그 생성,V2-L6-0770,양성경비/처우기준,중간 양성경비/처우기준 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,양성경비/처우기준,양성경비 확정,V2-L6-0771,양성경비/처우기준,중간 양성경비/처우기준 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,양성경비/처우기준,양성경비 발행,V2-L6-0772,양성경비/처우기준,양성경비 발행,상시,training_report,유지,원본 명칭/구조 유지
교육,양성경비/처우기준,처우기준 운영계획서 확정,V2-L6-0773,양성경비/처우기준,처우기준 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,양성경비/처우기준,처우기준 수료 발행,V2-L6-0774,양성경비/처우기준,처우기준 수료 발행,상시,training_status,유지,원본 명칭/구조 유지
교육,양성경비/처우기준,성과 리포트 발행,V2-L6-0775,양성경비/처우기준,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,파견자 관리,파견자 관리 요청 접수 로그 생성,V2-L6-0776,파견자 관리,파견자  기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,파견자 관리,파견자 관리 운영계획서 확정,V2-L6-0777,파견자 관리,중간 파견자  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,파견자 관리,파견자 관리 수료 발행,V2-L6-0778,파견자 관리,중간 파견자  결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,파견자 관리,성과 리포트 발행,V2-L6-0779,파견자 관리,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,결과 분석/확정/보고,결과 분석 생성,V2-L6-0740,결과 분석/확정/보고,결과 분석/확정/보고 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,결과 분석/확정/보고,결과 분석/확정/보고 결과 분석/확정/보고 확정,V2-L6-0741,결과 분석/확정/보고,중간 결과 분석/확정/보고 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,결과 분석/확정/보고,보고 요청 접수 로그 생성,V2-L6-0742,결과 분석/확정/보고,중간 결과 분석/확정/보고 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,결과 분석/확정/보고,결과 분석 확정,V2-L6-0743,결과 분석/확정/보고,결과 분석 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,결과 분석/확정/보고,결과 분석 발행,V2-L6-0744,결과 분석/확정/보고,결과 분석 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,결과 분석/확정/보고,보고 운영계획서 확정,V2-L6-0745,결과 분석/확정/보고,보고 운영계획서 확정,상시,approval_doc,유지,원본 명칭/구조 유지
교육,결과 분석/확정/보고,보고 수료 발행,V2-L6-0746,결과 분석/확정/보고,보고 수료 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,결과 분석/확정/보고,성과 리포트 발행,V2-L6-0747,결과 분석/확정/보고,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
교육,실시계획 수립,실시계획 수립 요청 접수 로그 생성,V2-L6-0716,실시계획 수립,실시계획 수립 기준서 확정,상시,approval_doc,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,실시계획 수립,실시계획 수립 운영계획서 확정,V2-L6-0717,실시계획 수립,중간 실시계획 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,실시계획 수립,실시계획 수립 수료 발행,V2-L6-0718,실시계획 수립,중간 실시계획 수립 결과표 등록,상시,analysis_report,명칭교정,행위형 표현을 결과 상태형 명칭으로 교정
교육,실시계획 수립,성과 리포트 발행,V2-L6-0719,실시계획 수립,성과 리포트 발행,상시,analysis_report,유지,원본 명칭/구조 유지
