Activity_ID,L3(도메인),L4,L5,L6 Name,Cadence,Output Type,Digital Trace,seq,pre_dependency
V2-L6-0001,교육,교육과정설계,Pilot과정 운영,Pilot과정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0034,교육,교육니즈분석,트렌드분석,트렌드분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0033
V2-L6-0035,교육,교육니즈분석,트렌드분석,1차 트렌드분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0034
V2-L6-0036,교육,교육니즈분석,트렌드분석,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0035
V2-L6-0037,교육,교육운영,과정 개설,과정 개설 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0038,교육,교육운영,과정 개설,과정 개설 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0037
V2-L6-0039,교육,교육운영,과정 개설,1차 과정 개설 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0038
V2-L6-0040,교육,교육운영,과정 개설,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0039
V2-L6-0041,교육,교육운영,과정 운영,과정 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0042,교육,교육운영,과정 운영,과정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0041
V2-L6-0043,교육,교육운영,과정 운영,1차 과정 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0042
V2-L6-0044,교육,교육운영,과정 운영,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0043
V2-L6-0045,교육,교육운영,과정설문 취합/분석,과정설문 취합/분석 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0046,교육,교육운영,과정설문 취합/분석,과정설문 취합/분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0045
V2-L6-0047,교육,교육운영,과정설문 취합/분석,1차 과정설문 취합/분석 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0046
V2-L6-0048,교육,교육운영,과정설문 취합/분석,과정설문 취합 발행,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0047
V2-L6-0049,교육,교육운영,과정설문 취합/분석,분석 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0048
V2-L6-0050,교육,교육운영,과정설문 취합/분석,분석 수료 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0049
V2-L6-0051,교육,교육운영,과정설문 취합/분석,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0050
V2-L6-0052,교육,교육운영,교육 실행 계획 수립,교육 실행 계획 수립 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0053,교육,교육운영,교육 실행 계획 수립,교육 실행 계획 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0052
V2-L6-0054,교육,교육운영,교육 실행 계획 수립,1차 교육 실행 계획 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0053
V2-L6-0055,교육,교육운영,교육 실행 계획 수립,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0054
V2-L6-0056,교육,교육운영,교육 예산 계획 수립,교육 예산 계획 수립 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0057,교육,교육운영,교육 예산 계획 수립,교육 예산 계획 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0056
V2-L6-0058,교육,교육운영,교육 예산 계획 수립,1차 교육 예산 계획 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0057
V2-L6-0059,교육,교육운영,교육 예산 계획 수립,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0058
V2-L6-0060,교육,교육운영,내/외부 강사관리,내/외부 강사관리 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0061,교육,교육운영,내/외부 강사관리,내/외부 강사관리 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0060
V2-L6-0062,교육,교육운영,내/외부 강사관리,1차 내/외부 강사관리 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0061
V2-L6-0063,교육,교육운영,내/외부 강사관리,내부 강사 발행,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0062
V2-L6-0064,교육,교육운영,내/외부 강사관리,외부 강사관리 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0063
V2-L6-0065,교육,교육운영,내/외부 강사관리,외부 강사관리 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0064
V2-L6-0066,교육,교육운영,내/외부 강사관리,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0065
V2-L6-0067,교육,교육운영,대상자 모집/선발,대상자 모집/선발 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0068,교육,교육운영,대상자 모집/선발,대상자 모집/선발 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0067
V2-L6-0069,교육,교육운영,대상자 모집/선발,1차 대상자 모집/선발 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0068
V2-L6-0070,교육,교육운영,대상자 모집/선발,대상자 모집 발행,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0069
V2-L6-0071,교육,교육운영,대상자 모집/선발,선발 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0070
V2-L6-0072,교육,교육운영,대상자 모집/선발,선발 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0071
V2-L6-0073,교육,교육운영,대상자 모집/선발,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0072
V2-L6-0074,교육,교육운영,성과분석/결과보고,성과분석/결과보고 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0075,교육,교육운영,성과분석/결과보고,성과분석/결과보고 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0074
V2-L6-0076,교육,교육운영,성과분석/결과보고,1차 성과분석/결과보고 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0075
V2-L6-0077,교육,교육운영,성과분석/결과보고,성과분석 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0076
V2-L6-0078,교육,교육운영,성과분석/결과보고,결과보고 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0077
V2-L6-0079,교육,교육운영,성과분석/결과보고,결과보고 수료 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0078
V2-L6-0080,교육,교육운영,성과분석/결과보고,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0079
V2-L6-0081,교육,교육운영,수료 관리 및 경비처리,수료 및 경비처리 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0082,교육,교육운영,수료 관리 및 경비처리,수료 및 경비처리 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0081
V2-L6-0083,교육,교육운영,수료 관리 및 경비처리,1차 수료 및 경비처리 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0082
V2-L6-0084,교육,교육운영,수료 관리 및 경비처리,경비처리 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0083
V2-L6-0085,교육,교육운영,수료 관리 및 경비처리,경비처리 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0084
V2-L6-0086,교육,교육운영,수료 관리 및 경비처리,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0085
V2-L6-0087,교육,교육운영,수료 관리 및 경비처리,수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0086
V2-L6-0088,교육,교육운영,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0089,교육,교육운영,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0088
V2-L6-0090,교육,교육운영,운영준비(인프라 셋팅 등),1차 운영준비(인프라 셋팅 등) 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0089
V2-L6-0091,교육,교육운영,운영준비(인프라 셋팅 등),성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0090
V2-L6-0092,교육,교육운영,입과안내/교육생 관리,입과안내/교육생 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0093,교육,교육운영,입과안내/교육생 관리,입과안내/교육생 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0092
V2-L6-0094,교육,교육운영,입과안내/교육생 관리,1차 입과안내/교육생 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0093
V2-L6-0095,교육,교육운영,입과안내/교육생 관리,입과안내 발행,상시,notification_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0094
V2-L6-0096,교육,교육운영,입과안내/교육생 관리,교육생 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0095
V2-L6-0097,교육,교육운영,입과안내/교육생 관리,교육생 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0096
V2-L6-0098,교육,교육운영,입과안내/교육생 관리,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0097
V2-L6-0099,교육,교육전략,전사 교육 전략 기획,전사 교육 전략 기획 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0100,교육,교육전략,전사 교육 전략 기획,전사 교육 전략 기획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0099
V2-L6-0101,교육,교육전략,전사 교육 전략 기획,1차 전사 교육 전략 기획 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0100
V2-L6-0102,교육,교육전략,전사 교육 전략 기획,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0101
V2-L6-0103,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 1차,강의안 및 교보재 개발 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0104,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 1차,강의안 및 교보재 개발 기준서 확정 1차,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0103
V2-L6-0105,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 1차,강의안 및 교보재 개발 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0104
V2-L6-0106,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 1차,1차 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0105
V2-L6-0107,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 1차,2차 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0106
V2-L6-0108,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 1차,4차 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0107
V2-L6-0109,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 2차,교보재 개발 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0110,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 2차,교보재 개발 수료 발행 1차,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0109
V2-L6-0111,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 2차,교보재 개발 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0110
V2-L6-0112,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 2차,교보재 개발 운영계획서 확정 1차,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0111
V2-L6-0113,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 2차,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0112
V2-L6-0114,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 2차,성과 리포트 발행 1차,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0113
V2-L6-0115,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 3차,강의안 발행,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0116,교육,내부 컨텐츠 개발,강의안 및 교보재 개발 3차,강의안 발행 1차,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0115
V2-L6-0117,교육,양성,선발 규모/선발 전략 수립,선발 규모/선발 전략 수립 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0118,교육,양성,선발 규모/선발 전략 수립,선발 규모/선발 전략 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0117
V2-L6-0119,교육,양성,선발 규모/선발 전략 수립,1차 선발 규모/선발 전략 수립 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0118
V2-L6-0120,교육,양성,선발 규모/선발 전략 수립,선발 규모 발행,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0119
V2-L6-0121,교육,양성,선발 규모/선발 전략 수립,선발 전략 수립 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0120
V2-L6-0122,교육,양성,선발 규모/선발 전략 수립,선발 전략 수립 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0121
V2-L6-0123,교육,양성,선발 규모/선발 전략 수립,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0122
V2-L6-0124,교육,양성,선발 전형 운영,선발 전형 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0125,교육,양성,선발 전형 운영,선발 전형 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0124
V2-L6-0126,교육,양성,선발 전형 운영,1차 선발 전형 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0125
V2-L6-0127,교육,양성,선발 전형 운영,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0126
V2-L6-0128,교육,양성,양성경비/처우기준,양성경비/처우기준 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0129,교육,양성,양성경비/처우기준,양성경비/처우기준 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0128
V2-L6-0130,교육,양성,양성경비/처우기준,1차 양성경비/처우기준 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0129
V2-L6-0131,교육,양성,양성경비/처우기준,양성경비 발행,상시,training_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0130
V2-L6-0132,교육,양성,양성경비/처우기준,처우기준 운영계획서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,5,V2-L6-0131
V2-L6-0133,교육,양성,양성경비/처우기준,처우기준 수료 발행,상시,training_status,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,6,V2-L6-0132
V2-L6-0134,교육,양성,양성경비/처우기준,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,7,V2-L6-0133
V2-L6-0135,교육,양성,파견자 관리,파견자 기준서 확정,상시,approval_doc,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,1,
V2-L6-0136,교육,양성,파견자 관리,파견자 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,2,V2-L6-0135
V2-L6-0137,교육,양성,파견자 관리,1차 파견자 결과표 등록,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,3,V2-L6-0136
V2-L6-0138,교육,양성,파견자 관리,성과 리포트 발행,상시,analysis_report,업무 시스템 처리 로그 | 결과 데이터 저장 로그 | 증빙 이력,4,V2-L6-0137
