도메인,L4,L5,L6_세부업무명,산출물_형태(보고서/티켓/로그),시스템_증거(디지털_발자국)
총무,사내 서비스 운영,날인 및 증명서 관리,증명서 발급요청 티켓 생성,ticket_log,그룹웨어 티켓번호 생성 | 메일 제목: 증명서 발급 요청 접수 안내 | 처리상태 변경 로그: 접수완료
해외인사,인력운영,STEP 운영,STEP 복귀결과 평가서 등록,evaluation_report,복귀 후 성과평가 입력 로그 | 역량향상 지표 계산 로그 | 메일 제목: STEP 복귀 평가 결과 안내
해외인사,인력운영,양성 파견 운영(현지/STEP),양성 파견운영 계획서 확정,plan_doc,파견계획 승인 로그 | 현지/STEP 트랙 분기 로그 | 메일 제목: 양성 파견 운영계획 안내
해외인사,인력운영,양성 파견 운영(현지/STEP),양성 파견 종료평가 보고서 등록,evaluation_report,종료평가 입력 로그 | 후속배치 추천 로그 | 메일 제목: 양성 파견 종료평가 안내
해외인사,인력운영,파견 인력 부임/귀임,파견 인력 부임·귀임 통합일정표 확정,schedule_doc,부임/귀임 일정 통합 캘린더 생성 | 대상자 상태 동기화 로그 | 메일 제목: 파견 인력 부임·귀임 일정 안내
해외인사,인력운영,지표 관리,글로벌 인사지표 기준서 확정,criteria_doc,지표 정의 버전 저장 로그 | 산식 승인 로그 | 메일 제목: 글로벌 인사지표 기준 확정 안내
해외인사,인력운영,지표 관리,월간 지표 모니터링 리포트 발행,monitoring_report,월간 지표 집계 배치 | 이상치 탐지 로그 | 메일 제목: 글로벌 인사지표 월간 리포트 공유
해외인사,인력운영,조직 관리,글로벌 조직변경안 확정본 등록,org_revision_doc,조직변경안 승인 로그 | 조직도 버전 업데이트 로그 | 메일 제목: 글로벌 조직 변경 안내
해외인사,임원인사,VP 승격,상무(VP) 승격 대상자 검토표 확정,review_sheet,승격심사 점수 집계 로그 | 임원인사위원회 검토 로그 | 메일 제목: 상무 승격 검토 결과 안내
해외인사,임원인사,VP 승격,상무(VP) 승격 인사명령서 발행,hr_order,인사명령 문서번호 생성 | 인사시스템 직급 변경 로그 | 메일 제목: 상무 승격 인사발령 안내
해외인사,임원인사,현채인 평가,현채인 평가대상 명단 확정,approval_list,평가대상 추출 로그 | 평가주기 매핑 로그 | 메일 제목: 현채인 평가대상 확정 안내
해외인사,임원인사,현채인 평가,현채인 평가결과 리포트 발행,analysis_report,평가결과 집계 배치 | 등급 산출 로그 | 메일 제목: 현채인 평가결과 공유
해외인사,주재원 제도,평가 운영,주재원 평가 운영 기준서 확정,criteria_doc,평가 운영 기준 버전 저장 로그 | 평가 운영 승인 문서번호 생성 | 메일 제목: 주재원 평가 운영 기준 확정 안내
해외인사,주재원 제도,평가 운영,주재원 평가 운영 결과통보서 발행,notification_doc,평가 운영 결과 집계 로그 | 평가 운영 통보 발송 로그 | 메일 제목: 주재원 평가 운영 결과 안내
해외인사,주재원 제도,승격 운영,주재원 승격 운영 기준서 확정,criteria_doc,승격 운영 기준 버전 저장 로그 | 승격 운영 승인 문서번호 생성 | 메일 제목: 주재원 승격 운영 기준 확정 안내
해외인사,주재원 제도,승격 운영,주재원 승격 운영 결과통보서 발행,notification_doc,승격 운영 결과 집계 로그 | 승격 운영 통보 발송 로그 | 메일 제목: 주재원 승격 운영 결과 안내
해외인사,주재원 제도,시상 운영,주재원 시상 운영 기준서 확정,criteria_doc,시상 운영 기준 버전 저장 로그 | 시상 운영 승인 문서번호 생성 | 메일 제목: 주재원 시상 운영 기준 확정 안내
해외인사,주재원 제도,시상 운영,주재원 시상 운영 결과통보서 발행,notification_doc,시상 운영 결과 집계 로그 | 시상 운영 통보 발송 로그 | 메일 제목: 주재원 시상 운영 결과 안내
해외인사,주재원 제도,징계 관리,주재원 징계 관리 기준서 확정,criteria_doc,징계 관리 기준 버전 저장 로그 | 징계 관리 승인 문서번호 생성 | 메일 제목: 주재원 징계 관리 기준 확정 안내
해외인사,주재원 제도,징계 관리,주재원 징계 관리 결과통보서 발행,notification_doc,징계 관리 결과 집계 로그 | 징계 관리 통보 발송 로그 | 메일 제목: 주재원 징계 관리 결과 안내
해외인사,보상,인센티브 지급조직 정비,글로벌 인센티브 지급조직 설계안 확정,design_doc,조직설계안 버전 저장 | 검토 승인 로그 | 메일 제목: 인센티브 지급조직 설계안 확정 안내
해외인사,보상,인센티브 지급조직 정비,인센티브 지급조직 반영 완료로그 생성,sync_log,인사시스템 조직반영 로그 | 권한 매핑 검증 로그 | 메일 제목: 인센티브 지급조직 반영 완료 안내
해외인사,채용,재입사 기준 관리,재입사 심사기준서 확정,criteria_doc,기준서 버전관리 로그 | 법인별 예외규정 매핑 로그 | 메일 제목: 재입사 기준 확정 안내
해외인사,채용,재입사 기준 관리,재입사 심사결과 통보서 발행,notification_doc,심사결과 승인 로그 | 후보자 통보 발송 로그 | 메일 제목: 재입사 심사결과 안내
해외인사,채용,현지 한국인 채용 관리,현지 한국인 채용요청서 등록,request_doc,채용요청 티켓 생성 | 법인 요청 승인 로그 | 메일 제목: 현지 한국인 채용요청 접수 안내
해외인사,채용,현지 한국인 채용 관리,현지 한국인 채용결과 보고서 발행,result_report,채용결과 집계 배치 | 입사예정자 동기화 로그 | 메일 제목: 현지 한국인 채용결과 공유
해외인사,교육/양성,글로벌 리더 양성 교육,글로벌 리더 양성과정 기획서 확정,plan_doc,과정기획 승인 로그 | 대상자 배정 로그 | 메일 제목: 글로벌 리더 양성 교육 안내
해외인사,교육/양성,글로벌 리더 양성 교육,글로벌 리더 양성 수료현황표 발행,training_status,LMS 수료데이터 적재 | 과정별 성취도 집계 로그 | 메일 제목: 글로벌 리더 양성 수료 현황 공유
해외인사,교육/양성,거점장(법인장) 교육,법인장 교육 커리큘럼 확정본 등록,curriculum_doc,법인장 교육과정 승인 로그 | 강사/세션 배정 로그 | 메일 제목: 법인장 교육 커리큘럼 확정 안내
해외인사,교육/양성,거점장(법인장) 교육,법인장 교육 효과분석 리포트 발행,analysis_report,교육 전후 지표 비교 배치 | 현업 적용사례 수집 로그 | 메일 제목: 법인장 교육 효과분석 공유
해외인사,교육/양성,주재원 교육,주재원 교육과정 운영계획서 확정,plan_doc,교육일정 승인 로그 | 교재 배포 로그 | 메일 제목: 주재원 교육 운영계획 안내
해외인사,교육/양성,주재원 교육,주재원 교육 수료평가 결과서 발행,evaluation_report,평가점수 집계 로그 | 수료판정 로그 | 메일 제목: 주재원 교육 수료평가 결과 안내
해외인사,노사관리,"컨설팅, 진단",해외법인 노사진단 계획서 확정,plan_doc,진단대상 선정 로그 | 진단계획 승인 로그 | 메일 제목: 해외법인 노사진단 계획 안내
해외인사,노사관리,"컨설팅, 진단",해외법인 노사진단 결과보고서 발행,analysis_report,진단결과 집계 로그 | 리스크 등급 산출 로그 | 메일 제목: 해외법인 노사진단 결과 공유
해외인사,노사관리,사건사고 관리,해외법인 사건사고 케이스 등록,case_intake,사건사고 케이스번호 생성 | 초기조치 상태값 기록 | 메일 제목: 해외법인 사건사고 접수 안내
해외인사,노사관리,사건사고 관리,해외법인 사건사고 조치결과서 발행,result_report,조치결과 승인 로그 | 재발방지 과제 등록 로그 | 메일 제목: 해외법인 사건사고 조치결과 안내
해외인사,M&A,(실사) 실사문서 분류,실사문서 분류대장 확정,classification_ledger,실사문서 분류규칙 저장 | 문서별 카테고리 태깅 로그 | 메일 제목: 실사문서 분류 완료 안내
해외인사,M&A,(실사) 실사문서 독해,실사문서 독해노트 등록,review_note,핵심조항 추출 로그 | 리스크 문장 하이라이트 저장 | 메일 제목: 실사문서 독해노트 공유
해외인사,M&A,(실사) 실사결과 분석,실사결과 분석리포트 발행,analysis_report,리스크 점수 산출 배치 | 재무/노무 이슈 매핑 로그 | 메일 제목: 실사결과 분석 공유
해외인사,M&A,(실사) 시사점 도출 및 보고,실사 시사점 보고서 확정,insight_report,시사점 우선순위 확정 로그 | 보고서 승인 로그 | 메일 제목: 실사 시사점 보고 안내
해외인사,M&A,(PMI) 계획 수립,PMI 통합실행계획서 확정,integration_plan,통합과제 로드맵 저장 | 과제 오너 할당 로그 | 메일 제목: PMI 통합실행계획 확정 안내
해외인사,M&A,(PMI) Best Practice 분석,PMI 베스트프랙티스 분석서 발행,benchmark_report,레퍼런스 비교분석 로그 | 적용 후보안 태깅 로그 | 메일 제목: PMI 베스트프랙티스 분석 공유
해외인사,M&A,(자회사 운영) 운영 유형 결정,자회사 운영유형 결정서 확정,decision_doc,운영유형 시나리오 평가 로그 | 의사결정 승인 로그 | 메일 제목: 자회사 운영유형 결정 안내
해외인사,M&A,(자회사 운영) 운영 방식 개선,자회사 운영방식 개선안 발행,improvement_plan,개선과제 등록 로그 | 이행 KPI 매핑 로그 | 메일 제목: 자회사 운영방식 개선안 공유
채용,채용계획,채용 계획 수립(경영계획),연간 채용수요 산정표 확정,planning_sheet,ATS 채용요청 집계 로그 | 사업부 수요 입력 마감 로그 | 메일 제목: 연간 채용수요 산정표 확정 안내
채용,채용계획,채용 계획 수립(경영계획),채용TO 배정안 승인완료,approval_doc,전자결재 승인 로그 | ATS requisition 생성 로그 | 메일 제목: 채용 TO 배정안 승인 완료 안내
채용,채용계획,직무기술서 작성,직무기술서 승인본 확정,jd_final,JD 승인 워크플로우 로그 | 문서 버전 잠금 로그 | 메일 제목: 직무기술서 승인본 확정 안내
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱채널 운영전략서 확정,strategy_doc,채널 성과지표 집계 로그 | 운영전략 승인 로그 | 메일 제목: 소싱채널 운영전략 확정 안내
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴리스트 등록,candidate_list,ATS 소싱 후보 등록 로그 | 후보자 중복검사 로그 | 메일 제목: 소싱 후보자 리스트 등록 안내
채용,선발전형,서류심사,서류심사 기준표 확정,criteria_doc,심사기준 버전 저장 로그 | 현업 승인 로그 | 메일 제목: 서류심사 기준 확정 안내
채용,선발전형,서류심사,서류평가 결과표 발행,evaluation_sheet,ATS 서류평가 입력 로그 | 평가점수 집계 배치 로그 | 메일 제목: 서류평가 결과 안내
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정결과 성적표 발행,score_report,시험결과 업로드 로그 | 커트라인 적용 로그 | ATS 상태 변경 로그: 검정합격/불합격
채용,선발전형,면접,면접일정표 확정본 발행,schedule_doc,ATS 인터뷰 슬롯 확정 로그 | 지원자 일정 확정 로그 | 메일 제목: 면접일정 확정 안내
채용,선발전형,면접,면접평가표 취합본 등록,evaluation_bundle,면접평가 입력 로그 | 평가표 취합 배치 로그 | ATS 상태 변경 로그: 면접완료
채용,선발전형,채용 및 처우 승인,채용승인 결재문서 완료,approval_doc,채용승인 결재 로그 | ATS 상태 변경 로그: 채용승인완료 | 메일 제목: 채용 승인 완료 안내
채용,선발전형,채용 및 처우 승인,오퍼레터 발송완료 로그 생성,offer_log,오퍼레터 생성 로그 | 전자서명 발송 로그 | ATS 상태 변경 로그: 오퍼발송
채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록대장 생성,ledger_record,ATS 선확보 후보 등록 로그 | 보유기간 태깅 로그 | 메일 제목: 선확보 인력 등록 완료 안내
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 이수결과표 등록,training_status,O/T 참석체크 로그 | 이수여부 판정 로그 | 메일 제목: 입사 전 O/T 이수 결과 안내
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday) 반영완료 로그 생성,sync_log,Workday hire event 생성 로그 | 인사시스템 사번 발급 로그 | ATS 상태 변경 로그: 입사확정
채용,채용 후속조치,입사 및 온보딩,입문교육 수료결과표 발행,training_status,LMS 수료데이터 적재 | 평가결과 저장 로그 | 메일 제목: 입문교육 수료 결과 안내
보상/근태,지급업무,정기급여,월 급여전표 승인완료,payroll_voucher,ERP 급여전표 승인 로그 | 급여 마감 배치 완료 로그 | 메일 제목: 정기급여 전표 승인 완료 안내
보상/근태,지급업무,정기급여,급여이체 파일 생성완료,bank_file,은행이체 파일 생성 로그 | 계좌검증 오류체크 로그 | 메일 제목: 정기급여 이체파일 생성 안내
보상/근태,지급업무,정기급여,급여명세서 발행완료,payslip,명세서 PDF 발행 로그 | 사번별 배포 로그 | 메일 제목: 급여명세서 발행 안내
보상/근태,지급업무,인센티브,인센티브 지급대상 명단 확정,approval_list,성과등급 연동 로그 | 지급대상 승인 로그 | 메일 제목: 인센티브 지급대상 확정 안내
보상/근태,지급업무,인센티브,인센티브 지급전표 승인완료,payroll_voucher,ERP 인센티브 전표 승인 로그 | 세액 계산 배치 로그 | 메일 제목: 인센티브 전표 승인 완료 안내
보상/근태,지급업무,연차수당,연차수당 산정내역서 확정,calculation_sheet,잔여연차 산정 로그 | 통상임금 반영 로그 | 메일 제목: 연차수당 산정내역 확정 안내
보상/근태,퇴직정산,퇴직자 미지급액 지급,퇴직 미지급액 정산서 발행,settlement_doc,미지급 항목 집계 로그 | 정산서 생성 로그 | 메일 제목: 퇴직 미지급액 정산 안내
