Activity_ID,L3,L4,L5,Current_L6,Output_Type,Hotspot_Score,Reason,Suggested_L6
V2-L6-0520,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 공지문 발송 승인 결과 완료,analysis_report,2,길이 과다,승인자/부서장 매핑 확정/변경 공지문 발송 승인 결과 등록
V2-L6-0521,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 시스템 반영 승인 결과 완료,analysis_report,2,길이 과다,승인자/부서장 매핑 확정/변경 시스템 반영 승인 결과 등록
V2-L6-0616,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 공지문 발송 보완안 확정,approval_doc,2,길이 과다,가이드 수립/배포 및 시스템 준비 공지문 발송 보완안 확정
V2-L6-0617,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 시스템 반영 보완안 확정,approval_doc,2,길이 과다,가이드 수립/배포 및 시스템 준비 시스템 반영 보완안 확정
V2-L6-0622,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 공지문 발송 승인본 확정,approval_doc,2,길이 과다,가이드 수립/배포 및 시스템 준비 공지문 발송 승인본 확정
V2-L6-0623,제도,시상,가이드 수립/배포 및 시스템 준비,가이드 수립/배포 및 시스템 준비 시스템 반영 승인본 확정,approval_doc,2,길이 과다,가이드 수립/배포 및 시스템 준비 시스템 반영 승인본 확정
V2-L6-0697,제도,연봉책정/계약,연봉책정/계약 운영 및 임직원 소통,연봉책정/계약 운영 및 임직원 소통 운영 결과 리포트 발송,notification_doc,2,길이 과다,연봉책정/계약 운영 및 임직원 소통 운영 결과 리포트 발송
V2-L6-0756,제도,피어리뷰,대상자 확정/변경(예외자/사유 확인),대상자 확정/변경(예외자/사유 확인) 승인 결재 승인 완료,approval_doc,2,길이 과다,대상자 확정/변경(예외자/사유 확인) 승인 결재 확정
V2-L6-0541,제도,그라운드룰&업무목표&피드백,승인자/부서장 매핑 확정/변경,승인자/부서장 매핑 확정/변경 보완안 승인 통보본 완료,notification_doc,2,알림타입-발송 불일치,승인자/부서장 매핑 확정/변경 보완안 승인 통보본 발송
V2-L6-0561,제도,시상,가이드 수립/배포 및 시스템 준비 10차,가이드 수립/배포 및 시스템 준비 승인 결재 승인 완료,notification_doc,2,알림타입-발송 불일치,가이드 수립/배포 및 시스템 준비 승인 결재 발송
V2-L6-0567,제도,시상,가이드 수립/배포 및 시스템 준비 1,가이드 수립/배포 및 시스템 준비 승인 결재 승인 완료,notification_doc,2,알림타입-발송 불일치,가이드 수립/배포 및 시스템 준비 승인 결재 발송
