[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,주체,전략 사유,분해유형,L5_유형,L6_순번
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접,면접 일정 확정,HR,면접관·후보자 일정 조율 HR 담당,1:1,T02,2
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접 장소 세팅 실시,SSC,물리적 장소 준비 — 검정·교육 장소세팅과 횡단 묶음 예정,1:1,T02,3
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 평가 결과 취합,DW,평가 결과지 디지털 취합,1:1,T02,4
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 합격자 명단 확정,HR,종합 평가 결과 HR 최종 확정,1:2,T02,5
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 전형 결과 안내문 발송,DW,합불 결과 자동 발송,1:2,T02,6
채용,선발전형,채용 및 처우 승인,중복확인,채용,선발전형,채용 및 처우 승인,채용 후보자 중복 여부 추출,DW,시스템 중복 자동 체크,1:1,T06,1
채용,선발전형,채용 및 처우 승인,후보자 종합 검증,채용,선발전형,채용 및 처우 승인,후보자 검증 결과 취합,HR,레퍼런스·평판조회 HR 수행,1:1,T06,2
채용,선발전형,채용 및 처우 승인,채용 승인,채용,선발전형,채용 및 처우 승인,채용 품의 승인,HR,결재권자 공식 사인 필요,통폐합,T06,3
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 및 처우 승인,채용 품의 승인,HR,결재권자 공식 사인 필요,통폐합,T06,3
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,채용 및 처우 승인,처우 협의 결과 확정,HR,대면 협의 처우 조건 확정,1:1,T06,4
채용,선발전형,채용 및 처우 승인,건강검진,채용,선발전형,채용 및 처우 승인,건강검진 안내문 발송,DW,입사 예정자 건강검진 일정 자동 발송,1:1,T06,5
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,채용 및 처우 승인,오퍼레터 발송,DW,입사 확인 오퍼 자동 발송,1:1,T06,6
채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록,채용,채용 후속조치,선확보 인력 관리,선확보 인력 명단 등록,DW,시스템 등록,1:1,T06,1
채용,채용 후속조치,선확보 인력 관리,활동 지원/평가,채용,채용 후속조치,선확보 인력 관리,선확보 인력 활동 평가 결과 취합,HR,활동 지원·평가 HR 수행,1:1,T06,2
채용,채용 후속조치,선확보 인력 관리,지원금 지급,채용,채용 후속조치,선확보 인력 관리,선확보 지원금 지급 명단 확정,HR,지급 대상·금액 HR 확정,1:1,T06,3
채용,채용 후속조치,선확보 인력 관리,리텐션 진행,채용,채용 후속조치,선확보 인력 관리,선확보 인력 리텐션 방안 확정,HR,이탈 방지 방안 HR 판단,1:1,T06,4
채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자),채용,채용 후속조치,입사 및 온보딩,입사절차 안내문 발송,DW,입사 전 절차 자동 발송,1:1,T06,1
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,입사 및 온보딩,입사발령 등록,DW,Workday 입사발령 등록,1:1,T06,2
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,웰컴키트 발송,SSC,물리적 웰컴키트 준비·발송 — SSC 횡단 묶음 예정,1:1,T06,3
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 오리엔테이션 참석자 명단 취합,DW,오리엔테이션 참석 확인 자동 취합,1:1,T06,4
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,입문교육 일정 확정,HR,입문교육 커리큘럼·일정 HR 확정,1:1,T06,5
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,멘토링 면담 결과 취합,HR,멘토링 면담 HR 실시·결과 취합,1:1,T06,6
채용,채용 후속조치,입사 및 온보딩,비용 지급/관리,채용,채용 후속조치,입사 및 온보딩,온보딩 비용 지급 명단 확정,HR,지급 대상·금액 확정,1:1,T06,7
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,사내 Job Posting,부서별 J/P 포스트 수요조사 취합,DW,부서 수요 양식 자동 집계,1:1,T07,1
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,사내 Job Posting,J/P 포스트 확정,HR,타당성 검토 후 포스트 HR 확정,통폐합,T07,2
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,사내 Job Posting,J/P 포스트 확정,HR,타당성 검토 후 포스트 HR 확정,통폐합,T07,2
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,사내 Job Posting,지원자 자격 적합 명단 추출,DW,지원자격 조건 자동 필터링,1:1,T07,3
인력운영,인력이동,사내 Job Posting,지원서 평가,인력운영,인력이동,사내 Job Posting,면접 대상자 명단 확정,HR,서류 평가 후 면접 대상자 HR 확정,통폐합,T07,4
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,면접 대상자 명단 확정,HR,서류 평가 후 면접 대상자 HR 확정,통폐합,T07,4
인력운영,인력이동,사내 Job Posting,서류 합불 통보,인력운영,인력이동,사내 Job Posting,서류 전형 결과 안내문 발송,DW,합불 결과 자동 발송,1:1,T07,5
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 평가 결과 취합,DW,면접관 평가 결과지 디지털 취합,통폐합,T07,6
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접 합격자 명단 확정,HR,평가 결과 종합 후 HR 최종 확정,통폐합,T07,7
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,사내 Job Posting,인력 이동 적정성 검토 결과 확정,HR,사업부간 균형 HR 최종 판단,1:1,T07,8
인력운영,인력이동,사내 Job Posting,면접 합불 통보,인력운영,인력이동,사내 Job Posting,면접 전형 결과 안내문 발송,DW,합불 결과 자동 발송,1:1,T07,9
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,사내 Job Posting,전배 발령 등록,DW,Workday 전배 발령 등록,1:1,T07,10
인력운영,인력이동,사내 Job Posting,실이동 관리,인력운영,인력이동,사내 Job Posting,실이동 일정 확정,HR,부서 협의 후 실이동 일정 HR 확정,1:1,T07,11
인력운영,인력이동,개별 전배,충원 요청,인력운영,인력이동,개별 전배,충원 요청 접수,DW,시스템 충원 요청 자동 접수,1:1,T06,1
인력운영,인력이동,개별 전배,충원 타당성 검토,인력운영,인력이동,개별 전배,충원 타당성 검토 결과 확정,HR,충원 필요성 HR 판단,1:1,T06,2
인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축,인력운영,인력이동,개별 전배,적합 인력 후보군 명단 취합,DW,사내 인력 풀 DB 조회·취합,1:1,T06,3
인력운영,인력이동,개별 전배,타겟 인력 할애 요청,인력운영,인력이동,개별 전배,할애 요청 발송,DW,사업부 대상 할애 요청 자동 발송,1:1,T06,4
인력운영,인력이동,개별 전배,할애 가능 여부 검토,인력운영,인력이동,개별 전배,할애 가능 여부 결과 확정,HR,사업부 협의 결과 HR 최종 확정,1:1,T06,5
인력운영,인력이동,개별 전배,전배 발령,인력운영,인력이동,개별 전배,전배 발령 등록,DW,Workday 전배 발령 등록,1:1,T06,6
인력운영,인력이동,전입,전입(or 신입) 규모 확인,인력운영,인력이동,전입,전입 인력 규모 추출,DW,시스템 전입 예정 인력 자동 추출,1:1,T06,1
인력운영,인력이동,전입,배치 부서 확인,인력운영,인력이동,전입,배치 부서 배정안 확정,HR,부서 수용 여건 검토 후 HR 확정,1:1,T06,2
인력운영,인력이동,전입,배치 안내,인력운영,인력이동,전입,배치 부서 안내문 발송,DW,배치 결과 자동 발송,1:1,T06,3
인력운영,인력이동,전입,온보딩 관리,인력운영,인력이동,전입,온보딩 일정 확정,HR,전입자 온보딩 커리큘럼 HR 확정,1:1,T06,4
인력운영,휴복직,휴직,휴직 신청,인력운영,휴복직,휴직,휴직 신청 접수,DW,시스템 휴직 신청 자동 접수,1:1,T06,1
인력운영,휴복직,휴직,휴직 면담,인력운영,휴복직,휴직,휴직 면담 결과 취합,HR,면담 후 귀환 계획·상황 취합,1:1,T06,2
인력운영,휴복직,휴직,휴직 적정성 및 일정 서류 검토,인력운영,휴복직,휴직,휴직 적정성 검토 결과 확정,HR,법적 요건·사유 HR 판단,1:1,T06,3
인력운영,휴복직,휴직,휴직원 작성 및 신청,인력운영,휴복직,휴직,휴직원 등록,DW,시스템 휴직원 등록,1:1,T06,4
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직,휴직 행정사항 안내문 발송,DW,휴직 시 행정사항 자동 발송,1:1,T06,5
인력운영,휴복직,휴직,휴직 연장 신청,인력운영,휴복직,휴직,휴직 연장 신청 접수,DW,연장 신청 자동 접수,1:1,T06,6
인력운영,휴복직,복직,복직 안내(한달전 일주일전),인력운영,휴복직,복직,복직 안내문 발송,DW,복직 D-30·D-7 자동 발송,1:1,T06,1
인력운영,휴복직,복직,복직원 작성 및 신청,인력운영,휴복직,복직,복직원 등록,DW,시스템 복직원 등록,1:1,T06,2
인력운영,휴복직,복직,출근 및 행정사항 처리,인력운영,휴복직,복직,복직 행정사항 처리 확정,HR,복직 시 행정사항 HR 확인,1:1,T06,3
인력운영,휴복직,복직,부서장 전결 메모결재 진행,인력운영,휴복직,복직,복직 메모결재 승인,HR,부서장 전결 공식 사인,1:1,T06,4
인력운영,휴복직,복직,연장 휴직원 작성 안내,인력운영,휴복직,복직,연장 휴직 신청 안내문 발송,DW,연장 휴직 신청 방법 자동 안내,1:1,T06,5
인력운영,휴복직,복직,휴직 발령 수정,인력운영,휴복직,복직,휴직 발령 수정 등록,DW,Workday 발령 수정 등록,1:1,T06,6
인력운영,퇴직,퇴직,퇴직 면담 요청,인력운영,퇴직,퇴직,퇴직 면담 일정 안내문 발송,DW,면담 일정 자동 안내,1:1,T06,1
인력운영,퇴직,퇴직,부서장/인사 퇴직면담,인력운영,퇴직,퇴직,퇴직 면담 결과 취합,HR,퇴직 사유·귀환 가능성 면담 HR 수행,1:1,T06,2
인력운영,퇴직,퇴직,핵심인력 여부 수혜금액 확인 및 변제요청,인력운영,퇴직,퇴직,수혜금액 변제 요청 발송,DW,핵심인력 수혜금 변제 요청 자동 발송,1:1,T06,3
인력운영,퇴직,퇴직,퇴직원 작성,인력운영,퇴직,퇴직,퇴직원 등록,DW,시스템 퇴직원 등록,1:1,T06,4
인력운영,퇴직,퇴직,퇴직 행정사항 안내,인력운영,퇴직,퇴직,퇴직 행정사항 안내문 발송,DW,퇴직 시 행정사항 자동 발송,1:1,T06,5
인력운영,퇴직,퇴직,퇴직자 사후 모니터링,인력운영,퇴직,퇴직,퇴직자 사후 모니터링 결과 취합,HR,이탈 원인 파악 HR 수행,1:1,T06,6
인력운영,퇴직,리텐션,우수인력 관리,인력운영,퇴직,리텐션,우수인력 이탈 위험도 추출,DW,시스템 퇴직 예측 지표 추출,1:1,T01,1
인력운영,퇴직,리텐션,퇴직 사유 관리,인력운영,퇴직,리텐션,퇴직 사유 분석 결과 취합,HR,퇴직 패턴 분석 HR 수행,1:1,T01,2
인력운영,퇴직,리텐션,유형별 맞춤형 리텐션 방안 수립,인력운영,퇴직,리텐션,유형별 리텐션 방안 확정,HR,대상 유형별 방안 HR 판단,1:1,T01,3
인력운영,퇴직,리텐션,로테이션 파견 프로그램 제도 신설,인력운영,퇴직,리텐션,로테이션·파견 제도 신설안 확정,HR,제도 신설 HR 기획·확정,1:1,T01,4
인력운영,인력 활용,리스킬링,리스킬링 타겟 부서/업무/대상 선정,인력운영,인력 활용,리스킬링,리스킬링 대상자 명단 확정,HR,타겟 부서·직무·대상자 HR 확정,1:1,T06,1
인력운영,인력 활용,리스킬링,대상자 인사/부서장 면담,인력운영,인력 활용,리스킬링,리스킬링 면담 결과 취합,HR,대상자 면담 HR 수행,1:1,T06,2
인력운영,인력 활용,리스킬링,발령 및 실이동,인력운영,인력 활용,리스킬링,리스킬링 발령 등록,DW,Workday 전배 발령 등록,1:1,T06,3
인력운영,인력 활용,리스킬링,온보딩 관리,인력운영,인력 활용,리스킬링,리스킬링 온보딩 일정 확정,HR,리스킬링 대상자 온보딩 HR 확정,1:1,T06,4
인력운영,인력 활용,시니어,시니어 활용 방안 수립,인력운영,인력 활용,시니어,시니어 활용 방안 확정,HR,시니어 트랙 운영 방안 HR 확정,1:1,T06,1
인력운영,인력 활용,시니어,정년후 재고용(시니어트랙) 후보군 성과 관리,인력운영,인력 활용,시니어,시니어 후보군 성과 이력 추출,DW,Workday 성과 이력 자동 추출,1:1,T06,2
인력운영,인력 활용,시니어,정년후 재고용(시니어트랙) 선발,인력운영,인력 활용,시니어,재고용 대상자 명단 확정,HR,재고용 기준 적용 HR 최종 확정,1:1,T06,3
인력운영,인력 활용,사업특화 제도,사업특화 현황 분석,인력운영,인력 활용,사업특화 제도,사업특화 인력 현황 추출,DW,사업부별 인력 현황 자동 추출,1:1,T01,1
인력운영,인력 활용,사업특화 제도,사업특화 제도/팀 신설,인력운영,인력 활용,사업특화 제도,사업특화 제도 신설안 확정,HR,제도 신설 기준 HR 확정,1:1,T01,2
인력운영,인력 활용,사업특화 제도,사업특화 제도/팀 운영,인력운영,인력 활용,사업특화 제도,사업특화 운영 결과 취합,HR,운영 현황 취합 HR 수행,1:1,T01,3
인력운영,인력계획,인력 계획,조직도 및 기초정보 세팅,인력운영,인력계획,인력 계획,조직도 기초정보 등록,DW,Workday 조직도 기초데이터 등록,1:1,T01,1
인력운영,인력계획,인력 계획,인력계획 기준 수립/공지,인력운영,인력계획,인력 계획,인력계획 기준안 확정,HR,인력계획 기준 HR 확정,1:2,T01,2
인력운영,인력계획,인력 계획,인력계획 기준 수립/공지,인력운영,인력계획,인력 계획,인력계획 기준 공지 발송,DW,사업부 대상 기준 자동 공지,1:2,T01,3
인력운영,인력계획,인력 계획,사업부별 기준 공지/인력계획 요청,인력운영,인력계획,인력 계획,사업부별 인력계획 요청 발송,DW,사업부 대상 계획 요청 자동 발송,1:1,T01,4
인력운영,인력계획,인력 계획,사업부별 인력계획 수립,인력운영,인력계획,인력 계획,사업부별 인력계획 취합,DW,사업부 제출 계획 자동 집계,통폐합,T01,5
인력운영,인력계획,인력 계획,수급별 인력계획 작성,인력운영,인력계획,인력 계획,사업부별 인력계획 취합,DW,사업부 제출 계획 자동 집계,통폐합,T01,5
인력운영,인력계획,인력 계획,인력 계획 보고,인력운영,인력계획,인력 계획,인력계획 보고서 확정,HR,경영진 보고용 인력계획 HR 확정,1:1,T01,6
인력운영,인력계획,인력 계획,인력 계획 입력,인력운영,인력계획,인력 계획,인력계획 시스템 등록,DW,Workday 인력계획 등록,1:1,T01,7
인력운영,인력계획,인력 계획,인력 계획 취합/조정,인력운영,인력계획,인력 계획,인력계획 조정안 확정,HR,사업부 계획 조정 HR 확정,1:1,T01,8
인력운영,인력계획,인력 계획,인력계획 검토 및 보고/승인,인력운영,인력계획,인력 계획,인력계획 최종 승인,HR,결재권자 인력계획 공식 승인,1:1,T01,9
인력운영,인력계획,인력 계획,인력계획 내역 사업부 공지,인력운영,인력계획,인력 계획,인력계획 공지 발송,DW,확정 인력계획 사업부 자동 공지,1:1,T01,10
인력운영,인력계획,인력 계획,인력계획 입력 내역 확인,인력운영,인력계획,인력 계획,(제거),Eliminate,대시보드로 실시간 확인 가능 — 수기 확인 절차 불필요,Eliminate,T01,11
인력운영,인력계획,수정경영계획,(데이터 없음),인력운영,인력계획,수정경영계획,수정경영계획 인력 변동 취합,DW,사업부별 수정 경영계획 변동사항 자동 취합,L5→L6,T01,1
인력운영,인력계획,수정경영계획,(데이터 없음),인력운영,인력계획,수정경영계획,수정 인력계획 확정,HR,수정 경영계획 반영 인력계획 HR 최종 확정,L5→L6,T01,2
인력운영,인력정보,제증명 관리,재직자 퇴직자 제증명 발급 요청,인력운영,인력정보,제증명 관리,제증명 발급 신청 접수,DW,시스템 제증명 신청 자동 접수,1:1,T08,1
인력운영,인력정보,제증명 관리,예외 내용 검토,인력운영,인력정보,제증명 관리,제증명 발급 예외 검토 결과 확정,HR,예외 케이스 HR 판단,1:1,T08,2
인력운영,인력정보,제증명 관리,내용 수정 및 발급 승인,인력운영,인력정보,제증명 관리,제증명 발급 승인,HR,최종 내용 확인 후 발급 승인,1:1,T08,3
인력운영,인력정보,인력 DB 관리,월마감 인력 관리,인력운영,인력정보,인력 DB 관리,월마감 인력 현황 추출,DW,Workday 월마감 인력 현황 자동 추출,1:1,T09,1
인력운영,인력정보,인력 DB 관리,지표 관리,인력운영,인력정보,인력 DB 관리,인력 지표 현황 추출,DW,지표 데이터 자동 추출,통폐합,T09,2
인력운영,인력정보,인력 DB 관리,지표집 작성,인력운영,인력정보,인력 DB 관리,인력 지표집 확정,HR,지표집 내용 검토 후 HR 확정,통폐합,T09,3
인력운영,인력정보,인력 DB 관리,지표요청 대응,인력운영,인력정보,인력 DB 관리,지표 요청 응답 자료 발송,DW,요청 대상 지표 자동 발송,1:1,T09,4
인력운영,인력정보,인력 DB 관리,업무분장도 관리,인력운영,인력정보,인력 DB 관리,업무분장도 업데이트 확정,HR,부서별 업무분장 변경 HR 확정,1:1,T09,5
인력운영,인력정보,인사발령,정기 인사 발령 대상자 취합,인력운영,인력정보,인사발령,정기 인사발령 대상자 명단 취합,DW,Workday 발령 대상자 자동 취합,1:1,T06,1
인력운영,인력정보,인사발령,인사 발령 보고/승인,인력운영,인력정보,인사발령,인사발령 승인,HR,결재권자 인사발령 공식 승인,1:1,T06,2
인력운영,인력정보,인사발령,인사발령 내역 사업부/부서 공지,인력운영,인력정보,인사발령,인사발령 공지 발송,DW,확정 발령 내역 자동 공지,1:1,T06,3
인력운영,인력정보,인력 현황 분석,부서별 C/I/연령 등 인력 분포 관리,인력운영,인력정보,인력 현황 분석,부서별 인력 분포 현황 추출,DW,Workday 인력 분포 자동 추출,1:2,T09,1
인력운영,인력정보,인력 현황 분석,부서별 C/I/연령 등 인력 분포 관리,인력운영,인력정보,인력 현황 분석,인력 분포 분석 보고서 확정,HR,분포 현황 분석 보고서 HR 확정,1:2,T09,2
인력운영,인력정보,인력 현황 분석,업무 불균형 잔특근 과다 조직 관리,인력운영,인력정보,인력 현황 분석,잔특근 과다 조직 명단 추출,DW,잔특근 시간 조건 자동 필터링,1:2,T09,3
인력운영,인력정보,인력 현황 분석,업무 불균형 잔특근 과다 조직 관리,인력운영,인력정보,인력 현황 분석,업무 불균형 조치안 확정,HR,불균형 해소 방안 HR 확정,1:2,T09,4
인력운영,인력정보,사원정보 관리,신상정보 본인 수정,인력운영,인력정보,사원정보 관리,사원 신상정보 수정 접수,DW,시스템 신상정보 수정 자동 접수,1:1,T08,1
인력운영,인력정보,사원정보 관리,변경정보 승인요청/증빙서류 제출,인력운영,인력정보,사원정보 관리,정보 변경 증빙서류 취합,DW,증빙서류 디지털 수령,1:1,T08,2
인력운영,인력정보,사원정보 관리,요청사항 검토/승인,인력운영,인력정보,사원정보 관리,사원정보 변경 승인,HR,변경 내용 확인 후 HR 승인,1:1,T08,3
인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 Post 운영 검토,인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 포스트 운영 방안 확정,HR,포스트 필요성·기준 HR 확정,1:1,T06,1
인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 선발,인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 선발 결과 확정,HR,선발 기준 적용 HR 확정,1:1,T06,2
인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 근무 환경 만족도 관리,인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 근무환경 만족도 조사 취합,DW,설문 결과 자동 취합,1:1,T06,3
인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 업무분장 관리,인력운영,비정규/계약직 인력 관리,파견직 관리,파견직 업무분장 확정,HR,부서·파견직 협의 후 HR 확정,1:1,T06,4
인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 운영 가이드 수립,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 운영 가이드 확정,HR,운영 기준 HR 확정,1:1,T01,1
인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 근무 관리,인력운영,비정규/계약직 인력 관리,시간선택제 관리,시간선택제 근무 현황 추출,DW,시간선택제 근태 자동 추출,1:1,T01,2
인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 운영 가이드 수립,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 운영 가이드 확정,HR,예비군 훈련 운영 기준 HR 확정,1:1,T01,1
인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 근무 관리,인력운영,비정규/계약직 인력 관리,예비군 관리,예비군 훈련 대상자 명단 추출,DW,예비군 훈련 일정 기준 자동 추출,1:1,T01,2
인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁 계약직 운영 가이드 수립,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 운영 가이드 확정,HR,촉탁 운영 기준 HR 확정,1:1,T01,1
인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁 계약직 근무 관리,인력운영,비정규/계약직 인력 관리,촉탁계약직 관리,촉탁계약직 근무 현황 추출,DW,촉탁계약직 근태 자동 추출,1:1,T01,2
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,연간 성과관리 가이드 수립,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,연간 성과관리 가이드 확정,HR,성과관리 운영 기조 HR 확정,1:1,T01,1
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,임직원 가이드 작성/배포,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,임직원 성과관리 가이드 배포,DW,임직원 대상 가이드 자동 배포,1:1,T01,2
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,그라운드룰 시스템 셋팅,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,성과관리 시스템 셋팅 등록,DW,그라운드룰·업무목표 시스템 셋팅 등록,통폐합,T01,3
제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,업무목표 시스템 셋팅,제도,그라운드룰&업무목표&수시피드백,가이드 수립/배포 및 시스템 준비,성과관리 시스템 셋팅 등록,DW,그라운드룰·업무목표 시스템 셋팅 등록,통폐합,T01,3
