[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,HR 서류 검토 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,HR 서류 검토 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,서류심사,진행의사 확인,채용,선발전형,서류심사,진행의사 확인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,서류심사,진행의사 확인,채용,선발전형,서류심사,진행의사 확인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류심사,현업 서류 검토 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류심사,현업 서류 검토 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류심사,서류 검토 결과안내 문구 확정,HR,안내/공지할 내용의 초안 컨펌
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류심사,서류 검토 결과안내 시스템 발송,Digital Worker,일괄 메일/메시지 발송 작업
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 선발/교육 일정 확정,HR,일정 및 방식에 대한 의사결정
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 선발/교육 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 선발/교육 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접,면접일정 조율 일정 확정,HR,일정 및 방식에 대한 의사결정
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접,면접일정 조율 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접,면접일정 조율 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접운영 준비 일정 확정,HR,일정 및 방식에 대한 의사결정
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접운영 준비 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접운영 준비 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 운영 일정 확정,HR,일정 및 방식에 대한 의사결정
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 운영 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 운영 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 후속처리 일정 확정,HR,일정 및 방식에 대한 의사결정
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 후속처리 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 후속처리 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
채용,선발전형,채용 및 처우 승인,중복확인,채용,선발전형,채용 및 처우 승인,중복확인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,중복확인,채용,선발전형,채용 및 처우 승인,중복확인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,채용 및 처우 승인,후보자 종합 검증,채용,선발전형,채용 및 처우 승인,후보자 종합 검증 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,후보자 종합 검증,채용,선발전형,채용 및 처우 승인,후보자 종합 검증 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,채용 및 처우 승인,채용 승인,채용,선발전형,채용 및 처우 승인,채용 승인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,채용 승인,채용,선발전형,채용 및 처우 승인,채용 승인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,채용 및 처우 승인,처우 협의/승인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,채용 및 처우 승인,처우 협의/승인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,채용 및 처우 승인,오퍼 확보 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,채용 및 처우 승인,오퍼 확보 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,채용 및 처우 승인,건강검진,채용,선발전형,채용 및 처우 승인,건강검진 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,건강검진,채용,선발전형,채용 및 처우 승인,건강검진 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 및 처우 승인,채용 품의 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 및 처우 승인,채용 품의 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록,채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록 ERP 시스템 등록,Digital Worker,결정된 데이터를 시스템에 기계적 반영
채용,채용 후속조치,선확보 인력 관리,활동 지원/평가,채용,채용 후속조치,선확보 인력 관리,활동 지원/평가 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
채용,채용 후속조치,선확보 인력 관리,활동 지원/평가,채용,채용 후속조치,선확보 인력 관리,활동 지원/평가 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
채용,채용 후속조치,선확보 인력 관리,지원금 지급,채용,채용 후속조치,선확보 인력 관리,지원금 지급 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
채용,채용 후속조치,선확보 인력 관리,지원금 지급,채용,채용 후속조치,선확보 인력 관리,지원금 지급 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
채용,채용 후속조치,선확보 인력 관리,리텐션 진행,채용,채용 후속조치,선확보 인력 관리,리텐션 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용 후속조치,선확보 인력 관리,리텐션 진행,채용,채용 후속조치,선확보 인력 관리,리텐션 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자),채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자) 문구 확정,HR,안내/공지할 내용의 초안 컨펌
채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자),채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자) 시스템 발송,Digital Worker,일괄 메일/메시지 발송 작업
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,입사 및 온보딩,입사발령(Workday) 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,입사 및 온보딩,입사발령(Workday) 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,입사 전 준비 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,입사 전 준비 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,입문교육 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,입문교육 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
채용,채용 후속조치,입사 및 온보딩,비용 지급/관리,채용,채용 후속조치,입사 및 온보딩,비용 지급/관리 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
채용,채용 후속조치,입사 및 온보딩,비용 지급/관리,채용,채용 후속조치,입사 및 온보딩,비용 지급/관리 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
인력운영,인력이동,사내 Job Posting,지원서 평가,인력운영,인력이동,사내 Job Posting,지원서 평가 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
인력운영,인력이동,사내 Job Posting,지원서 평가,인력운영,인력이동,사내 Job Posting,지원서 평가 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정 일정 확정,HR,일정 및 방식에 대한 의사결정
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
인력운영,인력이동,사내 Job Posting,서류 합불 통보,인력운영,인력이동,사내 Job Posting,서류 합불 통보 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,사내 Job Posting,서류 합불 통보,인력운영,인력이동,사내 Job Posting,서류 합불 통보 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 진행 및 평가 일정 확정,HR,일정 및 방식에 대한 의사결정
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 진행 및 평가 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 진행 및 평가 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접평가 결과 검토 일정 확정,HR,일정 및 방식에 대한 의사결정
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접평가 결과 검토 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접평가 결과 검토 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,사내 Job Posting,면접 합불 통보,인력운영,인력이동,사내 Job Posting,면접 합불 통보 일정 확정,HR,일정 및 방식에 대한 의사결정
인력운영,인력이동,사내 Job Posting,면접 합불 통보,인력운영,인력이동,사내 Job Posting,면접 합불 통보 안내 메일 발송,Digital Worker,대상자 대량 안내 발송
인력운영,인력이동,사내 Job Posting,면접 합불 통보,인력운영,인력이동,사내 Job Posting,면접 합불 통보 결과 확정,HR,면접/심사 결과에 대한 정성적 판단
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,사내 Job Posting,전배발령 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,사내 Job Posting,전배발령 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,사내 Job Posting,실이동 관리,인력운영,인력이동,사내 Job Posting,실이동 관리 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
인력운영,인력이동,사내 Job Posting,실이동 관리,인력운영,인력이동,사내 Job Posting,실이동 관리 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
인력운영,인력이동,개별 전배,충원 요청,인력운영,인력이동,개별 전배,충원 요청 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,개별 전배,충원 요청,인력운영,인력이동,개별 전배,충원 요청 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,개별 전배,충원 타당성 검토,인력운영,인력이동,개별 전배,충원 타당성 검토 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,개별 전배,충원 타당성 검토,인력운영,인력이동,개별 전배,충원 타당성 검토 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축,인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축,인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,개별 전배,타겟 인력 할애 요청,인력운영,인력이동,개별 전배,타겟 인력 할애 요청 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,개별 전배,타겟 인력 할애 요청,인력운영,인력이동,개별 전배,타겟 인력 할애 요청 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,개별 전배,할애 가능 여부 검토,인력운영,인력이동,개별 전배,할애 가능 여부 검토 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,개별 전배,할애 가능 여부 검토,인력운영,인력이동,개별 전배,할애 가능 여부 검토 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,개별 전배,전배 발령,인력운영,인력이동,개별 전배,전배 발령 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,개별 전배,전배 발령,인력운영,인력이동,개별 전배,전배 발령 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,전입,전입(or 신입) 규모 확인,인력운영,인력이동,전입,전입(or 신입) 규모 확인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,전입,전입(or 신입) 규모 확인,인력운영,인력이동,전입,전입(or 신입) 규모 확인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,전입,배치 부서 확인,인력운영,인력이동,전입,배치 부서 확인 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,인력이동,전입,배치 부서 확인,인력운영,인력이동,전입,배치 부서 확인 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,인력이동,전입,배치 안내,인력운영,인력이동,전입,배치 안내 문구 확정,HR,안내/공지할 내용의 초안 컨펌
인력운영,인력이동,전입,배치 안내,인력운영,인력이동,전입,배치 안내 시스템 발송,Digital Worker,일괄 메일/메시지 발송 작업
인력운영,인력이동,전입,온보딩 관리,인력운영,인력이동,전입,온보딩 관리 요청 접수 완료,Digital Worker,시스템상 요청 내역 접수
인력운영,인력이동,전입,온보딩 관리,인력운영,인력이동,전입,온보딩 관리 현장 조치 완료,SSC,물리적/육안 작업이 필요한 행정 지원 패키지 이관
인력운영,휴복직,휴직,휴직 신청,인력운영,휴복직,휴직,휴직 신청 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,휴복직,휴직,휴직 신청,인력운영,휴복직,휴직,휴직 신청 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,휴복직,휴직,휴직 면담,인력운영,휴복직,휴직,휴직 면담 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,휴복직,휴직,휴직 면담,인력운영,휴복직,휴직,휴직 면담 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토 검토 완료",Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토",인력운영,휴복직,휴직,"휴직 적정성 및 일정, 서류 검토 결과 확정",HR,결과물에 대한 최종 책임 및 의사결정
인력운영,휴복직,휴직,휴직원 작성 및 신청,인력운영,휴복직,휴직,휴직원 작성 및 신청 데이터 취합 완료,Digital Worker,작성에 필요한 원천 데이터 수집
인력운영,휴복직,휴직,휴직원 작성 및 신청,인력운영,휴복직,휴직,휴직원 작성 및 신청 기안서 확정,HR,내용 검토 및 기안 확정
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직,휴직 행정사항 안내 문구 확정,HR,안내/공지할 내용의 초안 컨펌
인력운영,휴복직,휴직,휴직 행정사항 안내,인력운영,휴복직,휴직,휴직 행정사항 안내 시스템 발송,Digital Worker,일괄 메일/메시지 발송 작업
인력운영,휴복직,휴직,휴직 연장 신청,인력운영,휴복직,휴직,휴직 연장 신청 검토 완료,Digital Worker,기본 요건에 대한 1차 시스템/RPA 검토
인력운영,휴복직,휴직,휴직 연장 신청,인력운영,휴복직,휴직,휴직 연장 신청 결과 확정,HR,결과물에 대한 최종 책임 및 의사결정
인력운영,휴복직,복직,"복직 안내(한달전, 일주일전)",인력운영,휴복직,복직,"복직 안내(한달전, 일주일전) 문구 확정",HR,안내/공지할 내용의 초안 컨펌
인력운영,휴복직,복직,"복직 안내(한달전, 일주일전)",인력운영,휴복직,복직,"복직 안내(한달전, 일주일전) 시스템 발송",Digital Worker,일괄 메일/메시지 발송 작업
