[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육,채용,선발전형,온/오프라인 테스트 운영,감독관 배정 명단 확정,HR,사내 감독관 차출 인원 조율 및 확정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비,채용,선발전형,온/오프라인 테스트 운영,수험표 및 수험 가이드라인 메일 배포,Digital Worker,응시자 대상 시스템 일괄 메일 배포
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영,채용,선발전형,온/오프라인 테스트 운영,오프라인 고사장 물리적 세팅 패키지,SSC,"시험장 책상 배치, 노트북 설치, 안내문 부착 등 완전한 물리적 작업"
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리,채용,선발전형,온/오프라인 테스트 운영,테스트 결과 점수표 시스템 저장,Digital Worker,외주 업체/시스템에서 산출된 점수 데이터베이스 API 연동 및 저장
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접 위원 구성 및 교육,직무별 면접 위원 배정 명단 확정,HR,포지션 전문성을 고려한 면접관 선발 및 조율
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접 위원 구성 및 교육,면접관 평가 가이드북 사내 배포,Digital Worker,확정된 면접관 대상 메뉴얼 자동 메일링
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접 일정 관리,후보자 및 면접관 참석 가능 일정 취합,Digital Worker,일정 조율 툴(Calendly 등)을 통한 빈 시간대 자동 파악
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접 일정 관리,최종 면접 타임테이블 확정,HR,복잡한 예외상황(임원 일정 등)을 반영한 최종 일정 픽스
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접 실행 및 운영,면접 참석 안내 및 화상 링크 메일 발송,Digital Worker,픽스된 일정에 맞춰 템플릿 메일 자동 발송
채용,선발전형,면접,면접 운영,채용,선발전형,면접 실행 및 운영,오프라인 면접장 다과 및 명패 세팅 패키지,SSC,"대기실 안내, 음료 세팅 등 물리적 현장 지원 서비스 통이관"
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접 결과 취합,면접관 개별 평가 점수 및 코멘트 취합,Digital Worker,채용 시스템상에 입력된 평가 결과 엑셀 다운로드 및 취합
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접 결과 취합,최종 면접 합격자 명단 확정,HR,평가 의견이 엇갈릴 경우 랩업 미팅을 통한 정성적 최종 판정
채용,선발전형,채용 및 처우 승인,중복확인,채용,선발전형,입사 전 사전 검증,타 계열사 중복지원 이력 조회 결과 확정,Digital Worker,데이터베이스 내 주민번호/이메일 기반 중복값 기계적 조회
채용,선발전형,채용 및 처우 승인,후보자 종합 검증,채용,선발전형,입사 전 사전 검증,레퍼런스 체크 및 평판조회 보고서 확정,HR,외부 업체 또는 자체 연락을 통한 심층 인성/역량 검증 보고서 작성
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,오퍼 및 처우 협상,내부 기준 기반 1차 처우(연봉) 제안 테이블 확정,HR,사내 페이밴드 및 후보자 경력을 고려한 전략적 연봉 산정
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,오퍼 및 처우 협상,최종 처우 합의안 기안서 확정,HR,후보자와의 줄다리기 협상(핑퐁) 후 도출된 최종 금액 컨펌
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,오퍼 및 처우 협상,처우 안내(Offer Letter) 메일 발송,Digital Worker,확정된 처우 내역을 공식 템플릿에 담아 발송
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,오퍼 및 처우 협상,후보자 Offer 수락 서명본 저장,Digital Worker,전자서명 시스템(DocuSign 등)을 통한 완료본 자동 적재
채용,선발전형,채용 및 처우 승인,건강검진,채용,선발전형,입사 전 사전 검증,채용 건강검진 적격 여부 결과 등록,Digital Worker,검진 센터에서 송부받은 합/불/재검 데이터를 시스템에 단순 이관
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 품의,최종 채용 확정 품의서 완료,HR,대표이사 등 임원진 대상 최종 채용 기안 문서 작성 및 결재 상신
