[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,Activity_ID,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,Cadence,Output Type,Change_Logic,L3(도메인)
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0014,사내 서비스 운영,사내 전화(S-Calling) 운영,사내 전화(S-Calling) 기준서 확정,상시,approval_doc,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0015,사내 서비스 운영,사내 전화(S-Calling) 운영,중간 사내 전화(S-Calling) 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0016,사내 서비스 운영,사내 전화(S-Calling) 운영,중간 사내 전화(S-Calling) 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0017,사내 서비스 운영,사내 전화(S-Calling) 운영,월간 통화품질 리포트 발행,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0018,사내 서비스 운영,두발로 운영,두발로 기준서 확정,상시,approval_doc,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0019,사내 서비스 운영,두발로 운영,중간 두발로 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0020,사내 서비스 운영,두발로 운영,중간 두발로 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0021,사내 서비스 운영,두발로 운영,두발로 이용통계 리포트 발행,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0022,사내 서비스 운영,다회용기 업체 운영,다회용기 업체 기준서 확정,상시,approval_doc,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0023,사내 서비스 운영,다회용기 업체 운영,중간 다회용기 업체 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0024,사내 서비스 운영,다회용기 업체 운영,중간 다회용기 업체 결과표 등록,상시,analysis_report,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
(원본 매핑 없음),(원본 매핑 없음),(원본 매핑 없음),V2-L6-0025,사내 서비스 운영,다회용기 업체 운영,다회용기 정산내역서 발행,상시,settlement_doc,L4를 비즈니스 맥락 중심으로 정리/복원; L5를 완결 사이클 단위로 정제; L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사무실 레이아웃 관리,(원본 L6 미기재),V2-L6-0026,사내 인프라 관리,사무실 레이아웃 관리,사무실 레이아웃 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사무실 레이아웃 관리,(원본 L6 미기재),V2-L6-0027,사내 인프라 관리,사무실 레이아웃 관리,사무실 레이아웃 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사무실 레이아웃 관리,(원본 L6 미기재),V2-L6-0028,사내 인프라 관리,사무실 레이아웃 관리,사무실 레이아웃 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,피트니스 관리,(원본 L6 미기재),V2-L6-0029,사내 인프라 관리,피트니스 관리,피트니스 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,피트니스 관리,(원본 L6 미기재),V2-L6-0030,사내 인프라 관리,피트니스 관리,피트니스 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,피트니스 관리,(원본 L6 미기재),V2-L6-0031,사내 인프라 관리,피트니스 관리,피트니스 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사내식당 관리,(원본 L6 미기재),V2-L6-0032,사내 인프라 관리,사내식당 관리,사내식당 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사내식당 관리,(원본 L6 미기재),V2-L6-0033,사내 인프라 관리,사내식당 관리,사내식당 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사내식당 관리,(원본 L6 미기재),V2-L6-0034,사내 인프라 관리,사내식당 관리,사내식당 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,주차장 관리,(원본 L6 미기재),V2-L6-0035,사내 인프라 관리,주차장 관리,주차장 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,주차장 관리,(원본 L6 미기재),V2-L6-0036,사내 인프라 관리,주차장 관리,주차장 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,주차장 관리,(원본 L6 미기재),V2-L6-0037,사내 인프라 관리,주차장 관리,주차장 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0038,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)","숙박시설 (기숙사, 포레스트) 기준서 확정",상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0039,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)","중간 숙박시설 (기숙사, 포레스트) 결과표 등록",상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0040,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)","중간 숙박시설 (기숙사, 포레스트) 결과표 등록",상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",(원본 L6 미기재),V2-L6-0041,사내 인프라 관리,"숙박시설 운영 (기숙사, 포레스트)",포레스트 배정승인서 발행,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,회의실 운영,(원본 L6 미기재),V2-L6-0042,사내 인프라 관리,회의실 운영,회의실 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,회의실 운영,(원본 L6 미기재),V2-L6-0043,사내 인프라 관리,회의실 운영,회의실 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,회의실 운영,(원본 L6 미기재),V2-L6-0044,사내 인프라 관리,회의실 운영,회의실 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,외부 사무실 운영,(원본 L6 미기재),V2-L6-0045,사내 인프라 관리,외부 사무실 운영,외부 사무실 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,외부 사무실 운영,(원본 L6 미기재),V2-L6-0046,사내 인프라 관리,외부 사무실 운영,외부 사무실 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,외부 사무실 운영,(원본 L6 미기재),V2-L6-0047,사내 인프라 관리,외부 사무실 운영,외부 사무실 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사택 관리,(원본 L6 미기재),V2-L6-0048,사내 인프라 관리,사택 관리,사택 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사택 관리,(원본 L6 미기재),V2-L6-0049,사내 인프라 관리,사택 관리,사택 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,사택 관리,(원본 L6 미기재),V2-L6-0050,사내 인프라 관리,사택 관리,사택 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,비품 관리,(원본 L6 미기재),V2-L6-0051,사내 인프라 관리,비품 관리,비품 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,비품 관리,(원본 L6 미기재),V2-L6-0052,사내 인프라 관리,비품 관리,비품 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,비품 관리,(원본 L6 미기재),V2-L6-0053,사내 인프라 관리,비품 관리,비품 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,임직원 사진관리,(원본 L6 미기재),V2-L6-0054,사내 인프라 관리,임직원 사진관리,임직원 사진관리 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,임직원 사진관리,(원본 L6 미기재),V2-L6-0055,사내 인프라 관리,임직원 사진관리,임직원 사진관리 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,임직원 사진관리,(원본 L6 미기재),V2-L6-0056,사내 인프라 관리,임직원 사진관리,임직원 사진관리 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,건물 관리 (공조 등),(원본 L6 미기재),V2-L6-0057,사내 인프라 관리,건물 관리 (공조 등),건물 (공조 등) 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,건물 관리 (공조 등),(원본 L6 미기재),V2-L6-0058,사내 인프라 관리,건물 관리 (공조 등),건물 (공조 등) 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
사내 인프라 관리,건물 관리 (공조 등),(원본 L6 미기재),V2-L6-0059,사내 인프라 관리,건물 관리 (공조 등),건물 (공조 등) 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
임직원 지원,임원 지원,(원본 L6 미기재),V2-L6-0060,임직원 지원,임원 지원,임원 지원 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
임직원 지원,임원 지원,(원본 L6 미기재),V2-L6-0061,임직원 지원,임원 지원,임원 지원 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
임직원 지원,임원 지원,(원본 L6 미기재),V2-L6-0062,임직원 지원,임원 지원,임원 지원 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
임직원 지원,임직원 출장지원,(원본 L6 미기재),V2-L6-0063,임직원 지원,임직원 출장지원,임직원 출장지원 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
임직원 지원,임직원 출장지원,(원본 L6 미기재),V2-L6-0064,임직원 지원,임직원 출장지원,임직원 출장지원 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
임직원 지원,임직원 출장지원,(원본 L6 미기재),V2-L6-0065,임직원 지원,임직원 출장지원,임직원 출장지원 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
차량 관리,법인 차량 관리,(원본 L6 미기재),V2-L6-0066,차량 관리,법인 차량 관리,법인 차량 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
차량 관리,법인 차량 관리,(원본 L6 미기재),V2-L6-0067,차량 관리,법인 차량 관리,법인 차량 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
차량 관리,법인 차량 관리,(원본 L6 미기재),V2-L6-0068,차량 관리,법인 차량 관리,법인 차량 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
차량 관리,운전기사 관리,(원본 L6 미기재),V2-L6-0069,차량 관리,운전기사 관리,운전기사 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
차량 관리,운전기사 관리,(원본 L6 미기재),V2-L6-0070,차량 관리,운전기사 관리,운전기사 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
차량 관리,운전기사 관리,(원본 L6 미기재),V2-L6-0071,차량 관리,운전기사 관리,운전기사 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
차량 관리,업무버스 관리,(원본 L6 미기재),V2-L6-0072,차량 관리,업무버스 관리,업무버스 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
차량 관리,업무버스 관리,(원본 L6 미기재),V2-L6-0073,차량 관리,업무버스 관리,업무버스 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
차량 관리,업무버스 관리,(원본 L6 미기재),V2-L6-0074,차량 관리,업무버스 관리,업무버스 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
협력사 관리,입점업체 운영,(원본 L6 미기재),V2-L6-0075,협력사 관리,입점업체 운영,입점업체 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
협력사 관리,입점업체 운영,(원본 L6 미기재),V2-L6-0076,협력사 관리,입점업체 운영,입점업체 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
협력사 관리,입점업체 운영,(원본 L6 미기재),V2-L6-0077,협력사 관리,입점업체 운영,입점업체 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
협력사 관리,상주협력사 관리,(원본 L6 미기재),V2-L6-0078,협력사 관리,상주협력사 관리,상주협력사 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
협력사 관리,상주협력사 관리,(원본 L6 미기재),V2-L6-0079,협력사 관리,상주협력사 관리,중간 상주협력사 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
협력사 관리,상주협력사 관리,(원본 L6 미기재),V2-L6-0080,협력사 관리,상주협력사 관리,중간 상주협력사 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
협력사 관리,상주협력사 관리,(원본 L6 미기재),V2-L6-0081,협력사 관리,상주협력사 관리,상주협력사 처리 결과 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
공통,파견자 문의 대응,(원본 L6 미기재),V2-L6-0082,공통,파견자 문의 대응,파견자 문의 대응 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,총무
공통,파견자 문의 대응,(원본 L6 미기재),V2-L6-0083,공통,파견자 문의 대응,파견자 문의 대응 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,총무
공통,파견자 문의 대응,(원본 L6 미기재),V2-L6-0084,공통,파견자 문의 대응,파견자 문의 대응 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,총무
조직문화,Change Agent,(원본 L6 미기재),V2-L6-0085,조직문화,Change Agent,Change Agent 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
조직문화,Change Agent,(원본 L6 미기재),V2-L6-0086,조직문화,Change Agent,중간 Change Agent 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,Change Agent,(원본 L6 미기재),V2-L6-0087,조직문화,Change Agent,중간 Change Agent 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,Change Agent,(원본 L6 미기재),V2-L6-0088,조직문화,Change Agent,CA 우수사례집 발행,상시,casebook,L6를 성과 상태형으로 매핑,노사
조직문화,SCI 진단,(원본 L6 미기재),V2-L6-0089,조직문화,SCI 진단,SCI 진단 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
조직문화,SCI 진단,(원본 L6 미기재),V2-L6-0090,조직문화,SCI 진단,중간 SCI 진단 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,SCI 진단,(원본 L6 미기재),V2-L6-0091,조직문화,SCI 진단,중간 SCI 진단 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,SCI 진단,(원본 L6 미기재),V2-L6-0092,조직문화,SCI 진단,SCI 진단 결과리포트 발행,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,My Pulse 서베이,(원본 L6 미기재),V2-L6-0093,조직문화,My Pulse 서베이,My Pulse 서베이 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
조직문화,My Pulse 서베이,(원본 L6 미기재),V2-L6-0094,조직문화,My Pulse 서베이,중간 My Pulse 서베이 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,My Pulse 서베이,(원본 L6 미기재),V2-L6-0095,조직문화,My Pulse 서베이,중간 My Pulse 서베이 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
조직문화,My Pulse 서베이,(원본 L6 미기재),V2-L6-0096,조직문화,My Pulse 서베이,My Pulse 결과리포트 발행,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
협의회,협의회,(원본 L6 미기재),V2-L6-0097,협의회,협의회,협의회 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
협의회,협의회,(원본 L6 미기재),V2-L6-0098,협의회,협의회,협의회 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
협의회,협의회,(원본 L6 미기재),V2-L6-0099,협의회,협의회,협의회 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
노동조합,단체교섭,(원본 L6 미기재),V2-L6-0100,노동조합,단체교섭,단체교섭 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
노동조합,단체교섭,(원본 L6 미기재),V2-L6-0101,노동조합,단체교섭,단체교섭 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
노동조합,단체교섭,(원본 L6 미기재),V2-L6-0102,노동조합,단체교섭,단체교섭 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
노동조합,단체협약,(원본 L6 미기재),V2-L6-0103,노동조합,단체협약,단체협약 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
노동조합,단체협약,(원본 L6 미기재),V2-L6-0104,노동조합,단체협약,단체협약 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
노동조합,단체협약,(원본 L6 미기재),V2-L6-0105,노동조합,단체협약,단체협약 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
ER,직장내괴롭힘,(원본 L6 미기재),V2-L6-0106,ER,직장내괴롭힘,직장내괴롭힘 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
ER,직장내괴롭힘,(원본 L6 미기재),V2-L6-0107,ER,직장내괴롭힘,중간 직장내괴롭힘 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
ER,직장내괴롭힘,(원본 L6 미기재),V2-L6-0108,ER,직장내괴롭힘,중간 직장내괴롭힘 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
ER,직장내괴롭힘,(원본 L6 미기재),V2-L6-0109,ER,직장내괴롭힘,직장내괴롭힘 처리 결과 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
ER,희망퇴직,(원본 L6 미기재),V2-L6-0110,ER,희망퇴직,희망퇴직 기준서 확정,수시,approval_doc,L6를 성과 상태형으로 매핑,노사
ER,희망퇴직,(원본 L6 미기재),V2-L6-0111,ER,희망퇴직,중간 희망퇴직 결과표 등록,수시,analysis_report,L6를 성과 상태형으로 매핑,노사
ER,희망퇴직,(원본 L6 미기재),V2-L6-0112,ER,희망퇴직,중간 희망퇴직 결과표 등록,수시,analysis_report,L6를 성과 상태형으로 매핑,노사
ER,희망퇴직,(원본 L6 미기재),V2-L6-0113,ER,희망퇴직,퇴직패키지 정산서 발행,수시,settlement_doc,L6를 성과 상태형으로 매핑,노사
ER,생일자 기념쿠키 지급,(원본 L6 미기재),V2-L6-0114,ER,생일자 기념쿠키 지급,생일자 기념쿠키 지급 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
ER,생일자 기념쿠키 지급,(원본 L6 미기재),V2-L6-0115,ER,생일자 기념쿠키 지급,생일자 기념쿠키 지급 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
ER,생일자 기념쿠키 지급,(원본 L6 미기재),V2-L6-0116,ER,생일자 기념쿠키 지급,생일자 기념쿠키 지급 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,면담질문지 준비,(원본 L6 미기재),V2-L6-0117,사건사고 관리,면담질문지 준비,면담질문지 준비 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,면담질문지 준비,(원본 L6 미기재),V2-L6-0118,사건사고 관리,면담질문지 준비,면담질문지 준비 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
사건사고 관리,면담질문지 준비,(원본 L6 미기재),V2-L6-0119,사건사고 관리,면담질문지 준비,면담질문지 준비 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,면담기록/요약,(원본 L6 미기재),V2-L6-0120,사건사고 관리,면담기록/요약,면담기록/요약 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,면담기록/요약,(원본 L6 미기재),V2-L6-0121,사건사고 관리,면담기록/요약,면담기록/요약 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
사건사고 관리,면담기록/요약,(원본 L6 미기재),V2-L6-0122,사건사고 관리,면담기록/요약,면담기록/요약 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,유사사례 및 판례 확인,(원본 L6 미기재),V2-L6-0123,사건사고 관리,유사사례 및 판례 확인,유사사례 및 판례 확인 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,유사사례 및 판례 확인,(원본 L6 미기재),V2-L6-0124,사건사고 관리,유사사례 및 판례 확인,유사사례 및 판례 확인 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
사건사고 관리,유사사례 및 판례 확인,(원본 L6 미기재),V2-L6-0125,사건사고 관리,유사사례 및 판례 확인,유사사례 및 판례 확인 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,징계양정 제안,(원본 L6 미기재),V2-L6-0126,사건사고 관리,징계양정 제안,징계양정 제안 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,노사
사건사고 관리,징계양정 제안,(원본 L6 미기재),V2-L6-0127,사건사고 관리,징계양정 제안,징계양정 제안 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,노사
사건사고 관리,징계양정 제안,(원본 L6 미기재),V2-L6-0128,사건사고 관리,징계양정 제안,징계양정 제안 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,노사
공통,주재원 인사(양성),(원본 L6 미기재),V2-L6-0129,공통,주재원 인사(양성),주재원 인사(양성) 기준서 확정,상시,approval_doc,L6를 성과 상태형으로 매핑,해외인사
공통,주재원 인사(양성),(원본 L6 미기재),V2-L6-0130,공통,주재원 인사(양성),주재원 인사(양성) 결과표 등록,상시,analysis_report,L6를 성과 상태형으로 매핑,해외인사
공통,주재원 인사(양성),(원본 L6 미기재),V2-L6-0131,공통,주재원 인사(양성),주재원 인사(양성) 결과 통보 발송 완료,상시,notification_doc,L6를 성과 상태형으로 매핑,해외인사
인력운영,주재원 인사(선발/부임),(원본 L6 미기재),V2-L6-0132,인력운영,주재원 인사(선발/부임),주재원 인사(선발/부임) 기준서 확정,수시,approval_doc,L6를 성과 상태형으로 매핑,해외인사
