Activity_ID,L3(도메인),Redesign_L4,Redesign_L5,Redesign_L6,Cadence,Output Type,pre_dependency,seq,Digital Trace
V2-L6-0001,총무,의사결정·승인 프로세스 그룹,날인 및 증명서 관리 [기준확정],날인 및 증명서  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0012,총무,실행·반영 프로세스 그룹,대외유관 기관/업체 운영 [실행등록],대외유관 기관/업체  결과표 등록,상시,analysis_report,V2-L6-0011,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0013,총무,통보·핸드오프 프로세스 그룹,대외유관 기관/업체 운영 [통보인계],대외유관 기관/업체  결과 통보 발송 완료,상시,notification_doc,V2-L6-0012,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0014,총무,의사결정·승인 프로세스 그룹,사내 전화(S-Calling) 운영 [기준확정],사내 전화(S-Calling)  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0015,총무,실행·반영 프로세스 그룹,사내 전화(S-Calling) 운영 [실행등록],중간 사내 전화(S-Calling)  결과표 등록,상시,analysis_report,V2-L6-0014,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0016,총무,실행·반영 프로세스 그룹,사내 전화(S-Calling) 운영 [통보인계],중간 사내 전화(S-Calling)  결과표 등록,상시,analysis_report,V2-L6-0015,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0017,총무,운영 공통 프로세스 그룹,사내 전화(S-Calling) 운영 [확장단계4],월간 통화품질 리포트 발행,상시,analysis_report,V2-L6-0016,4,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0018,총무,의사결정·승인 프로세스 그룹,두발로 운영 [기준확정],두발로  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0019,총무,실행·반영 프로세스 그룹,두발로 운영 [실행등록],중간 두발로  결과표 등록,상시,analysis_report,V2-L6-0018,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0020,총무,실행·반영 프로세스 그룹,두발로 운영 [통보인계],중간 두발로  결과표 등록,상시,analysis_report,V2-L6-0019,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0021,총무,운영 공통 프로세스 그룹,두발로 운영 [확장단계4],두발로 이용통계 리포트 발행,상시,analysis_report,V2-L6-0020,4,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0022,총무,의사결정·승인 프로세스 그룹,다회용기 업체 운영 [기준확정],다회용기 업체  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0023,총무,실행·반영 프로세스 그룹,다회용기 업체 운영 [실행등록],중간 다회용기 업체  결과표 등록,상시,analysis_report,V2-L6-0022,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0024,총무,실행·반영 프로세스 그룹,다회용기 업체 운영 [통보인계],중간 다회용기 업체  결과표 등록,상시,analysis_report,V2-L6-0023,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0025,총무,실행·반영 프로세스 그룹,다회용기 업체 운영 [확장단계4],다회용기 정산내역서 발행,상시,settlement_doc,V2-L6-0024,4,ERP 전표 번호 생성 로그 | 결재 완료 데이터 | 정산 반영 이력
V2-L6-0026,총무,의사결정·승인 프로세스 그룹,사무실 레이아웃 관리 [기준확정],사무실 레이아웃  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0027,총무,실행·반영 프로세스 그룹,사무실 레이아웃 관리 [실행등록],사무실 레이아웃  결과표 등록,상시,analysis_report,V2-L6-0026,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0028,총무,통보·핸드오프 프로세스 그룹,사무실 레이아웃 관리 [통보인계],사무실 레이아웃  결과 통보 발송 완료,상시,notification_doc,V2-L6-0027,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0029,총무,의사결정·승인 프로세스 그룹,피트니스 관리 [기준확정],피트니스  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0030,총무,실행·반영 프로세스 그룹,피트니스 관리 [실행등록],피트니스  결과표 등록,상시,analysis_report,V2-L6-0029,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0031,총무,통보·핸드오프 프로세스 그룹,피트니스 관리 [통보인계],피트니스  결과 통보 발송 완료,상시,notification_doc,V2-L6-0030,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0032,총무,의사결정·승인 프로세스 그룹,사내식당 관리 [기준확정],사내식당  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0033,총무,실행·반영 프로세스 그룹,사내식당 관리 [실행등록],사내식당  결과표 등록,상시,analysis_report,V2-L6-0032,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0034,총무,통보·핸드오프 프로세스 그룹,사내식당 관리 [통보인계],사내식당  결과 통보 발송 완료,상시,notification_doc,V2-L6-0033,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0035,총무,의사결정·승인 프로세스 그룹,주차장 관리 [기준확정],주차장  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0036,총무,실행·반영 프로세스 그룹,주차장 관리 [실행등록],주차장  결과표 등록,상시,analysis_report,V2-L6-0035,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0037,총무,통보·핸드오프 프로세스 그룹,주차장 관리 [통보인계],주차장  결과 통보 발송 완료,상시,notification_doc,V2-L6-0036,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0038,총무,의사결정·승인 프로세스 그룹,"숙박시설 운영 (기숙사, 포레스트) [기준확정]","숙박시설  (기숙사, 포레스트) 기준서 확정",상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0039,총무,실행·반영 프로세스 그룹,"숙박시설 운영 (기숙사, 포레스트) [실행등록]","중간 숙박시설  (기숙사, 포레스트) 결과표 등록",상시,analysis_report,V2-L6-0038,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0040,총무,실행·반영 프로세스 그룹,"숙박시설 운영 (기숙사, 포레스트) [통보인계]","중간 숙박시설  (기숙사, 포레스트) 결과표 등록",상시,analysis_report,V2-L6-0039,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0041,총무,의사결정·승인 프로세스 그룹,"숙박시설 운영 (기숙사, 포레스트) [확장단계4]",포레스트 배정승인서 발행,상시,approval_doc,V2-L6-0040,4,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0042,총무,의사결정·승인 프로세스 그룹,회의실 운영 [기준확정],회의실  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0043,총무,실행·반영 프로세스 그룹,회의실 운영 [실행등록],회의실  결과표 등록,상시,analysis_report,V2-L6-0042,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0044,총무,통보·핸드오프 프로세스 그룹,회의실 운영 [통보인계],회의실  결과 통보 발송 완료,상시,notification_doc,V2-L6-0043,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0045,총무,의사결정·승인 프로세스 그룹,외부 사무실 운영 [기준확정],외부 사무실  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0046,총무,실행·반영 프로세스 그룹,외부 사무실 운영 [실행등록],외부 사무실  결과표 등록,상시,analysis_report,V2-L6-0045,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0047,총무,통보·핸드오프 프로세스 그룹,외부 사무실 운영 [통보인계],외부 사무실  결과 통보 발송 완료,상시,notification_doc,V2-L6-0046,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0048,총무,의사결정·승인 프로세스 그룹,사택 관리 [기준확정],사택  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0049,총무,실행·반영 프로세스 그룹,사택 관리 [실행등록],사택  결과표 등록,상시,analysis_report,V2-L6-0048,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0050,총무,통보·핸드오프 프로세스 그룹,사택 관리 [통보인계],사택  결과 통보 발송 완료,상시,notification_doc,V2-L6-0049,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0051,총무,의사결정·승인 프로세스 그룹,비품 관리 [기준확정],비품  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0052,총무,실행·반영 프로세스 그룹,비품 관리 [실행등록],비품  결과표 등록,상시,analysis_report,V2-L6-0051,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0053,총무,통보·핸드오프 프로세스 그룹,비품 관리 [통보인계],비품  결과 통보 발송 완료,상시,notification_doc,V2-L6-0052,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0054,총무,의사결정·승인 프로세스 그룹,임직원 사진관리 [기준확정],임직원 사진관리 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0055,총무,실행·반영 프로세스 그룹,임직원 사진관리 [실행등록],임직원 사진관리 결과표 등록,상시,analysis_report,V2-L6-0054,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0056,총무,통보·핸드오프 프로세스 그룹,임직원 사진관리 [통보인계],임직원 사진관리 결과 통보 발송 완료,상시,notification_doc,V2-L6-0055,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0057,총무,의사결정·승인 프로세스 그룹,건물 관리 (공조 등) [기준확정],건물  (공조 등) 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0058,총무,실행·반영 프로세스 그룹,건물 관리 (공조 등) [실행등록],건물  (공조 등) 결과표 등록,상시,analysis_report,V2-L6-0057,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0059,총무,통보·핸드오프 프로세스 그룹,건물 관리 (공조 등) [통보인계],건물  (공조 등) 결과 통보 발송 완료,상시,notification_doc,V2-L6-0058,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0060,총무,의사결정·승인 프로세스 그룹,임원 지원 [기준확정],임원 지원 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0061,총무,실행·반영 프로세스 그룹,임원 지원 [실행등록],임원 지원 결과표 등록,상시,analysis_report,V2-L6-0060,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0062,총무,통보·핸드오프 프로세스 그룹,임원 지원 [통보인계],임원 지원 결과 통보 발송 완료,상시,notification_doc,V2-L6-0061,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0063,총무,의사결정·승인 프로세스 그룹,임직원 출장지원 [기준확정],임직원 출장지원 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0064,총무,실행·반영 프로세스 그룹,임직원 출장지원 [실행등록],임직원 출장지원 결과표 등록,상시,analysis_report,V2-L6-0063,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0065,총무,통보·핸드오프 프로세스 그룹,임직원 출장지원 [통보인계],임직원 출장지원 결과 통보 발송 완료,상시,notification_doc,V2-L6-0064,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0066,총무,의사결정·승인 프로세스 그룹,법인 차량 관리 [기준확정],법인 차량  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0067,총무,실행·반영 프로세스 그룹,법인 차량 관리 [실행등록],법인 차량  결과표 등록,상시,analysis_report,V2-L6-0066,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0068,총무,통보·핸드오프 프로세스 그룹,법인 차량 관리 [통보인계],법인 차량  결과 통보 발송 완료,상시,notification_doc,V2-L6-0067,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0069,총무,의사결정·승인 프로세스 그룹,운전기사 관리 [기준확정],운전기사  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0070,총무,실행·반영 프로세스 그룹,운전기사 관리 [실행등록],운전기사  결과표 등록,상시,analysis_report,V2-L6-0069,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0071,총무,통보·핸드오프 프로세스 그룹,운전기사 관리 [통보인계],운전기사  결과 통보 발송 완료,상시,notification_doc,V2-L6-0070,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0072,총무,의사결정·승인 프로세스 그룹,업무버스 관리 [기준확정],업무버스  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0073,총무,실행·반영 프로세스 그룹,업무버스 관리 [실행등록],업무버스  결과표 등록,상시,analysis_report,V2-L6-0072,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0074,총무,통보·핸드오프 프로세스 그룹,업무버스 관리 [통보인계],업무버스  결과 통보 발송 완료,상시,notification_doc,V2-L6-0073,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0075,총무,의사결정·승인 프로세스 그룹,입점업체 운영 [기준확정],입점업체  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0076,총무,실행·반영 프로세스 그룹,입점업체 운영 [실행등록],입점업체  결과표 등록,상시,analysis_report,V2-L6-0075,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0077,총무,통보·핸드오프 프로세스 그룹,입점업체 운영 [통보인계],입점업체  결과 통보 발송 완료,상시,notification_doc,V2-L6-0076,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0078,총무,의사결정·승인 프로세스 그룹,상주협력사 관리 [기준확정],상주협력사  기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0079,총무,실행·반영 프로세스 그룹,상주협력사 관리 [실행등록],중간 상주협력사  결과표 등록,상시,analysis_report,V2-L6-0078,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0080,총무,실행·반영 프로세스 그룹,상주협력사 관리 [통보인계],중간 상주협력사  결과표 등록,상시,analysis_report,V2-L6-0079,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0081,총무,의사결정·승인 프로세스 그룹,상주협력사 관리 [확장단계4],상주협력사 처리 결과 확정,상시,approval_doc,V2-L6-0080,4,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0082,총무,의사결정·승인 프로세스 그룹,파견자 문의 대응 [기준확정],파견자 문의 대응 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0083,총무,실행·반영 프로세스 그룹,파견자 문의 대응 [실행등록],파견자 문의 대응 결과표 등록,상시,analysis_report,V2-L6-0082,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0084,총무,통보·핸드오프 프로세스 그룹,파견자 문의 대응 [통보인계],파견자 문의 대응 결과 통보 발송 완료,상시,notification_doc,V2-L6-0083,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0085,노사,의사결정·승인 프로세스 그룹,Change Agent [기준확정],Change Agent 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0086,노사,실행·반영 프로세스 그룹,Change Agent [실행등록],중간 Change Agent 결과표 등록,상시,analysis_report,V2-L6-0085,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0087,노사,실행·반영 프로세스 그룹,Change Agent [통보인계],중간 Change Agent 결과표 등록,상시,analysis_report,V2-L6-0086,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0088,노사,운영 공통 프로세스 그룹,Change Agent [확장단계4],CA 우수사례집 발행,상시,casebook,V2-L6-0087,4,업무 처리 이력 로그 | 결과 데이터 저장 이력 | CA 우수사례집 발행 관련 증빙 기록
V2-L6-0089,노사,심사·평가 프로세스 그룹,SCI 진단 [기준확정],SCI 진단 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0090,노사,심사·평가 프로세스 그룹,SCI 진단 [실행등록],중간 SCI 진단 결과표 등록,상시,analysis_report,V2-L6-0089,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0091,노사,심사·평가 프로세스 그룹,SCI 진단 [통보인계],중간 SCI 진단 결과표 등록,상시,analysis_report,V2-L6-0090,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0092,노사,심사·평가 프로세스 그룹,SCI 진단 [확장단계4],SCI 진단 결과리포트 발행,상시,analysis_report,V2-L6-0091,4,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0093,노사,의사결정·승인 프로세스 그룹,My Pulse 서베이 [기준확정],My Pulse 서베이 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0094,노사,실행·반영 프로세스 그룹,My Pulse 서베이 [실행등록],중간 My Pulse 서베이 결과표 등록,상시,analysis_report,V2-L6-0093,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0095,노사,실행·반영 프로세스 그룹,My Pulse 서베이 [통보인계],중간 My Pulse 서베이 결과표 등록,상시,analysis_report,V2-L6-0094,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0096,노사,운영 공통 프로세스 그룹,My Pulse 서베이 [확장단계4],My Pulse 결과리포트 발행,상시,analysis_report,V2-L6-0095,4,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0097,노사,의사결정·승인 프로세스 그룹,협의회 [기준확정],협의회 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0098,노사,실행·반영 프로세스 그룹,협의회 [실행등록],협의회 결과표 등록,상시,analysis_report,V2-L6-0097,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0099,노사,통보·핸드오프 프로세스 그룹,협의회 [통보인계],협의회 결과 통보 발송 완료,상시,notification_doc,V2-L6-0098,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0100,노사,의사결정·승인 프로세스 그룹,단체교섭 [기준확정],단체교섭 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0101,노사,실행·반영 프로세스 그룹,단체교섭 [실행등록],단체교섭 결과표 등록,상시,analysis_report,V2-L6-0100,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0102,노사,통보·핸드오프 프로세스 그룹,단체교섭 [통보인계],단체교섭 결과 통보 발송 완료,상시,notification_doc,V2-L6-0101,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0103,노사,의사결정·승인 프로세스 그룹,단체협약 [기준확정],단체협약 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0104,노사,실행·반영 프로세스 그룹,단체협약 [실행등록],단체협약 결과표 등록,상시,analysis_report,V2-L6-0103,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0105,노사,통보·핸드오프 프로세스 그룹,단체협약 [통보인계],단체협약 결과 통보 발송 완료,상시,notification_doc,V2-L6-0104,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0106,노사,의사결정·승인 프로세스 그룹,직장내괴롭힘 [기준확정],직장내괴롭힘 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0107,노사,실행·반영 프로세스 그룹,직장내괴롭힘 [실행등록],중간 직장내괴롭힘 결과표 등록,상시,analysis_report,V2-L6-0106,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0108,노사,실행·반영 프로세스 그룹,직장내괴롭힘 [통보인계],중간 직장내괴롭힘 결과표 등록,상시,analysis_report,V2-L6-0107,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0109,노사,의사결정·승인 프로세스 그룹,직장내괴롭힘 [확장단계4],직장내괴롭힘 처리 결과 확정,상시,approval_doc,V2-L6-0108,4,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0110,노사,의사결정·승인 프로세스 그룹,희망퇴직 [기준확정],희망퇴직 기준서 확정,수시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0111,노사,실행·반영 프로세스 그룹,희망퇴직 [실행등록],중간 희망퇴직 결과표 등록,수시,analysis_report,V2-L6-0110,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0112,노사,실행·반영 프로세스 그룹,희망퇴직 [통보인계],중간 희망퇴직 결과표 등록,수시,analysis_report,V2-L6-0111,3,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0113,노사,실행·반영 프로세스 그룹,희망퇴직 [확장단계4],퇴직패키지 정산서 발행,수시,settlement_doc,V2-L6-0112,4,ERP 전표 번호 생성 로그 | 결재 완료 데이터 | 정산 반영 이력
V2-L6-0114,노사,의사결정·승인 프로세스 그룹,생일자 기념쿠키 지급 [기준확정],생일자 기념쿠키 지급 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0115,노사,실행·반영 프로세스 그룹,생일자 기념쿠키 지급 [실행등록],생일자 기념쿠키 지급 결과표 등록,상시,analysis_report,V2-L6-0114,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
V2-L6-0116,노사,실행·반영 프로세스 그룹,생일자 기념쿠키 지급 [통보인계],생일자 기념쿠키 지급 결과 통보 발송 완료,상시,notification_doc,V2-L6-0115,3,메일 발송 이력 로그 | 수신 확인 로그 | 통보 문서 발행 이력
V2-L6-0117,노사,의사결정·승인 프로세스 그룹,면담질문지 준비 [기준확정],면담질문지 준비 기준서 확정,상시,approval_doc,,1,결재선 완료 데이터 | 승인자 서명 이력 | 승인 문서 원본 저장 로그
V2-L6-0118,노사,실행·반영 프로세스 그룹,면담질문지 준비 [실행등록],면담질문지 준비 결과표 등록,상시,analysis_report,V2-L6-0117,2,결과 데이터 집계 로그 | 분석 리포트 생성 로그 | 결과 보고 이력
