[Origin] L5 Name,[Origin] L6 Name,Activity_ID,[Current] L5 Name,[Current] L6 Name,Cadence,Output Type,Change_Logic,L3(도메인)
프로그램 운영방안 결정,교육 형태/기간,V2-L6-0877,프로그램 운영방안 결정,프로그램 운영방안 결정 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
프로그램 운영방안 결정,교육 형태/기간,V2-L6-0878,프로그램 운영방안 결정,중간 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
프로그램 운영방안 결정,신청/선발 방식,V2-L6-0879,프로그램 운영방안 결정,중간 프로그램 운영방안 결정 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
프로그램 운영방안 결정,신청/선발 방식,V2-L6-0880,프로그램 운영방안 결정,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육대상 분석,임직원 현황 분석(규모/직무/사업부/보직),V2-L6-0861,교육대상 분석,교육대상 분석 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
교육대상 분석,임직원 현황 분석(규모/직무/사업부/보직),V2-L6-0862,교육대상 분석,중간 교육대상 분석 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육대상 분석,특수 국적/언어 등,V2-L6-0863,교육대상 분석,중간 교육대상 분석 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육대상 분석,역량 분석(교육이력/자격),V2-L6-0864,교육대상 분석,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
요구사항분석,경영진요구사항 분석,V2-L6-0853,요구사항분석,요구사항분석 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
요구사항분석,경영진요구사항 분석,V2-L6-0854,요구사항분석,중간 요구사항분석 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
요구사항분석,임직원 요구사항 분석,V2-L6-0855,요구사항분석,중간 요구사항분석 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
요구사항분석,임직원 요구사항 분석,V2-L6-0856,요구사항분석,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0865,커리큘럼 기획,커리큘럼 기획 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,전년도 결과 리뷰/분석,V2-L6-0866,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,인사이트 발굴,V2-L6-0867,커리큘럼 기획,중간 커리큘럼 기획 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
커리큘럼 기획,우선순위 도출,V2-L6-0868,커리큘럼 기획,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
트렌드분석,환경변화 자료검색/리서치,V2-L6-0857,트렌드분석,트렌드분석 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
트렌드분석,환경변화 자료검색/리서치,V2-L6-0858,트렌드분석,중간 트렌드분석 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
트렌드분석,환경변화 관련 인사이트 발굴,V2-L6-0859,트렌드분석,중간 트렌드분석 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
트렌드분석,환경변화 관련 인사이트 발굴,V2-L6-0860,트렌드분석,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0788,과정 개설,과정 개설 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0789,과정 개설,중간 과정 개설 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0790,과정 개설,중간 과정 개설 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
과정 개설,교육시스템 과정 등록 및 차수 개설,V2-L6-0791,과정 개설,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
과정 운영,강의장 점검,V2-L6-0817,과정 운영,과정  기준서 확정,상시,approval_doc,모호한 동사를 결과 상태 중심으로 교정,교육
과정 운영,강사 영접,V2-L6-0818,과정 운영,중간 과정  결과표 등록,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
과정 운영,강의 및 퍼실리테이팅/코칭 진행,V2-L6-0819,과정 운영,중간 과정  결과표 등록,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
과정 운영,강의내용 통역(필요시),V2-L6-0820,과정 운영,성과 리포트 발행,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
과정설문 취합/분석,과정 설문 준비,V2-L6-0821,과정설문 취합/분석,과정설문 취합/분석 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
과정설문 취합/분석,과정 설문 준비,V2-L6-0822,과정설문 취합/분석,중간 과정설문 취합/분석 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
과정설문 취합/분석,과정설문 개설,V2-L6-0823,과정설문 취합/분석,중간 과정설문 취합/분석 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
과정설문 취합/분석,과정설문 개설,V2-L6-0824,과정설문 취합/분석,과정설문 취합 발행,상시,training_report,단일 프로세스를 7단계 성과활동으로 분해,교육
과정설문 취합/분석,과정설문 진행,V2-L6-0825,과정설문 취합/분석,분석 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
과정설문 취합/분석,과정설문 진행,V2-L6-0826,과정설문 취합/분석,분석 수료 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
과정설문 취합/분석,과정설문 분석,V2-L6-0827,과정설문 취합/분석,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
교육 실행 계획 수립,연간 교육 운영 수립,V2-L6-0780,교육 실행 계획 수립,교육 실행 계획 수립 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 실행 계획 수립,연간 교육 운영 수립,V2-L6-0781,교육 실행 계획 수립,중간 교육 실행 계획 수립 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 실행 계획 수립,연간 교육 운영 수립,V2-L6-0782,교육 실행 계획 수립,중간 교육 실행 계획 수립 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 실행 계획 수립,연간 교육 운영 수립,V2-L6-0783,교육 실행 계획 수립,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 예산 계획 수립,전년도 경비실적 분석,V2-L6-0784,교육 예산 계획 수립,교육 예산 계획 수립 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 예산 계획 수립,전년도 경비실적 분석,V2-L6-0785,교육 예산 계획 수립,중간 교육 예산 계획 수립 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 예산 계획 수립,교육 예산 계획 수립,V2-L6-0786,교육 예산 계획 수립,중간 교육 예산 계획 수립 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
교육 예산 계획 수립,운영품의(PR) 진행,V2-L6-0787,교육 예산 계획 수립,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
내/외부 강사관리,배차 신청,V2-L6-0806,내/외부 강사관리,내/외부 강사관리 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
내/외부 강사관리,배차 신청,V2-L6-0807,내/외부 강사관리,중간 내/외부 강사관리 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
내/외부 강사관리,방문 신청,V2-L6-0808,내/외부 강사관리,중간 내/외부 강사관리 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
내/외부 강사관리,식권 신청,V2-L6-0809,내/외부 강사관리,내부 강사 발행,상시,training_report,단일 프로세스를 7단계 성과활동으로 분해,교육
내/외부 강사관리,벤더 등록,V2-L6-0810,내/외부 강사관리,외부 강사관리 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
내/외부 강사관리,교육과정/강의 안내,V2-L6-0811,내/외부 강사관리,외부 강사관리 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
내/외부 강사관리,강사 영접 및 VOC 대응,V2-L6-0812,내/외부 강사관리,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 모집 공지,V2-L6-0792,대상자 모집/선발,대상자 모집/선발 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 모집 공지,V2-L6-0793,대상자 모집/선발,중간 대상자 모집/선발 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 모집 공지,V2-L6-0794,대상자 모집/선발,중간 대상자 모집/선발 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 선발,V2-L6-0795,대상자 모집/선발,대상자 모집 발행,상시,training_report,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 선발,V2-L6-0796,대상자 모집/선발,선발 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 선발 확정안내,V2-L6-0797,대상자 모집/선발,선발 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
대상자 모집/선발,대상자 선발 확정안내,V2-L6-0798,대상자 모집/선발,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,성과 분석,V2-L6-0828,성과분석/결과보고,성과분석/결과보고 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,성과 분석,V2-L6-0829,성과분석/결과보고,중간 성과분석/결과보고 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,결과 보고,V2-L6-0830,성과분석/결과보고,중간 성과분석/결과보고 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,우수 교육생 시상,V2-L6-0831,성과분석/결과보고,성과분석 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,우수 교육생 시상,V2-L6-0832,성과분석/결과보고,결과보고 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,강사 감사레터 작성/발송(필요시),V2-L6-0833,성과분석/결과보고,결과보고 수료 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
성과분석/결과보고,교육관련 사진/영상자료 정리,V2-L6-0834,성과분석/결과보고,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,수료 관리,V2-L6-0835,수료 관리 및 경비처리,수료  및 경비처리 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,수료 관리,V2-L6-0836,수료 관리 및 경비처리,중간 수료  및 경비처리 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,수료 관리,V2-L6-0837,수료 관리 및 경비처리,중간 수료  및 경비처리 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,수료 관리,V2-L6-0838,수료 관리 및 경비처리,경비처리 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,정산 진행,V2-L6-0839,수료 관리 및 경비처리,경비처리 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,정산 진행,V2-L6-0840,수료 관리 및 경비처리,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
수료 관리 및 경비처리,정산 진행,V2-L6-0841,수료 관리 및 경비처리,수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
운영준비(인프라 셋팅 등),운영관련 체크리스트 준비,V2-L6-0813,운영준비(인프라 셋팅 등),운영준비(인프라 셋팅 등) 기준서 확정,상시,approval_doc,모호한 동사를 결과 상태 중심으로 교정,교육
운영준비(인프라 셋팅 등),시설 예약,V2-L6-0814,운영준비(인프라 셋팅 등),중간 운영준비(인프라 셋팅 등) 결과표 등록,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
운영준비(인프라 셋팅 등),교보재 준비,V2-L6-0815,운영준비(인프라 셋팅 등),중간 운영준비(인프라 셋팅 등) 결과표 등록,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
운영준비(인프라 셋팅 등),강의장 세팅,V2-L6-0816,운영준비(인프라 셋팅 등),성과 리포트 발행,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
입과안내/교육생 관리,교육생 명단 관리,V2-L6-0799,입과안내/교육생 관리,입과안내/교육생  기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
입과안내/교육생 관리,교육생 명단 관리,V2-L6-0800,입과안내/교육생 관리,중간 입과안내/교육생  결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
입과안내/교육생 관리,교육 입과안내,V2-L6-0801,입과안내/교육생 관리,중간 입과안내/교육생  결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
입과안내/교육생 관리,교육 입과안내,V2-L6-0802,입과안내/교육생 관리,입과안내 발행,상시,notification_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
입과안내/교육생 관리,교육생 분석,V2-L6-0803,입과안내/교육생 관리,교육생 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
입과안내/교육생 관리,교육생 분석,V2-L6-0804,입과안내/교육생 관리,교육생 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
입과안내/교육생 관리,VOC 대응,V2-L6-0805,입과안내/교육생 관리,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
전사 교육 전략 기획,신설/폐강 과정 관리,V2-L6-0849,전사 교육 전략 기획,전사 교육 전략 기획 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
전사 교육 전략 기획,신설/폐강 과정 관리,V2-L6-0850,전사 교육 전략 기획,중간 전사 교육 전략 기획 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
전사 교육 전략 기획,신설/폐강 과정 관리,V2-L6-0851,전사 교육 전략 기획,중간 전사 교육 전략 기획 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
전사 교육 전략 기획,신설/폐강 과정 관리,V2-L6-0852,전사 교육 전략 기획,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
강의안 및 교보재 개발,과정개발 계획수립,V2-L6-0842,강의안 및 교보재 개발,강의안 및 교보재 개발 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
강의안 및 교보재 개발,과정개발 계획수립,V2-L6-0843,강의안 및 교보재 개발,중간 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
강의안 및 교보재 개발,강의안 디자인 템플릿 의뢰,V2-L6-0844,강의안 및 교보재 개발,중간 강의안 및 교보재 개발 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
강의안 및 교보재 개발,모듈계획서 작성,V2-L6-0845,강의안 및 교보재 개발,교보재 개발 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
강의안 및 교보재 개발,강의교안 개발,V2-L6-0846,강의안 및 교보재 개발,교보재 개발 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
강의안 및 교보재 개발,교보재 개발,V2-L6-0847,강의안 및 교보재 개발,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
강의안 및 교보재 개발,강의자료 번역(필요시),V2-L6-0848,강의안 및 교보재 개발,강의안 발행,상시,training_report,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 선발 규모 확정,V2-L6-0758,선발 규모/선발 전략 수립,선발 규모/선발 전략 수립 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 선발 규모 확정,V2-L6-0759,선발 규모/선발 전략 수립,중간 선발 규모/선발 전략 수립 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 선발 규모 확정,V2-L6-0760,선발 규모/선발 전략 수립,중간 선발 규모/선발 전략 수립 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 분야 확정,V2-L6-0761,선발 규모/선발 전략 수립,선발 규모 발행,상시,training_report,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 분야 확정,V2-L6-0762,선발 규모/선발 전략 수립,선발 전략 수립 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 선발전략 수립,V2-L6-0763,선발 규모/선발 전략 수립,선발 전략 수립 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 규모/선발 전략 수립,양성 선발전략 수립,V2-L6-0764,선발 규모/선발 전략 수립,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
선발 전형 운영,후보군 선발,V2-L6-0765,선발 전형 운영,선발 전형  기준서 확정,상시,approval_doc,모호한 동사를 결과 상태 중심으로 교정,교육
선발 전형 운영,선발관련 안내,V2-L6-0766,선발 전형 운영,중간 선발 전형  결과표 등록,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
선발 전형 운영,면접 심사,V2-L6-0767,선발 전형 운영,중간 선발 전형  결과표 등록,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
선발 전형 운영,선발 확정,V2-L6-0768,선발 전형 운영,성과 리포트 발행,상시,analysis_report,모호한 동사를 결과 상태 중심으로 교정,교육
양성경비/처우기준,양성경비 분석,V2-L6-0769,양성경비/처우기준,양성경비/처우기준 기준서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
양성경비/처우기준,양성경비 분석,V2-L6-0770,양성경비/처우기준,중간 양성경비/처우기준 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
양성경비/처우기준,양성경비 분석,V2-L6-0771,양성경비/처우기준,중간 양성경비/처우기준 결과표 등록,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
양성경비/처우기준,양성경비 분석,V2-L6-0772,양성경비/처우기준,양성경비 발행,상시,training_report,단일 프로세스를 7단계 성과활동으로 분해,교육
양성경비/처우기준,양성경비 예산편성/관리,V2-L6-0773,양성경비/처우기준,처우기준 운영계획서 확정,상시,approval_doc,단일 프로세스를 7단계 성과활동으로 분해,교육
양성경비/처우기준,양성경비 예산편성/관리,V2-L6-0774,양성경비/처우기준,처우기준 수료 발행,상시,training_status,단일 프로세스를 7단계 성과활동으로 분해,교육
양성경비/처우기준,양성경비 예산편성/관리,V2-L6-0775,양성경비/처우기준,성과 리포트 발행,상시,analysis_report,단일 프로세스를 7단계 성과활동으로 분해,교육
파견자 관리,파견중 관리,V2-L6-0776,파견자 관리,파견자  기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
파견자 관리,파견중 관리,V2-L6-0777,파견자 관리,중간 파견자  결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
파견자 관리,파견후 관리,V2-L6-0778,파견자 관리,중간 파견자  결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
파견자 관리,양성시스템 관리/정보입력,V2-L6-0779,파견자 관리,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 분석,V2-L6-0740,결과 분석/확정/보고,결과 분석/확정/보고 기준서 확정,상시,approval_doc,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 분석,V2-L6-0741,결과 분석/확정/보고,중간 결과 분석/확정/보고 결과표 등록,상시,analysis_report,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 확정,V2-L6-0742,결과 분석/확정/보고,중간 결과 분석/확정/보고 결과표 등록,상시,analysis_report,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 확정,V2-L6-0743,결과 분석/확정/보고,결과 분석 확정,상시,approval_doc,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 보고,V2-L6-0744,결과 분석/확정/보고,결과 분석 발행,상시,analysis_report,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 반영,V2-L6-0745,결과 분석/확정/보고,보고 운영계획서 확정,상시,approval_doc,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,진단/검정 결과 반영,V2-L6-0746,결과 분석/확정/보고,보고 수료 발행,상시,analysis_report,단일 프로세스를 8단계 성과활동으로 분해,교육
결과 분석/확정/보고,격려금 지급,V2-L6-0747,결과 분석/확정/보고,성과 리포트 발행,상시,analysis_report,단일 프로세스를 8단계 성과활동으로 분해,교육
실시계획 수립,진단/검정 실시계획 수립,V2-L6-0716,실시계획 수립,실시계획 수립 기준서 확정,상시,approval_doc,단일 프로세스를 4단계 성과활동으로 분해,교육
실시계획 수립,진단/검정 실시계획 수립,V2-L6-0717,실시계획 수립,중간 실시계획 수립 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
실시계획 수립,진단/검정 대상 확정,V2-L6-0718,실시계획 수립,중간 실시계획 수립 결과표 등록,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
실시계획 수립,진단/검정 대상 확정,V2-L6-0719,실시계획 수립,성과 리포트 발행,상시,analysis_report,단일 프로세스를 4단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 분석,V2-L6-0720,진단/검정 문항 분석 및 개발,진단/검정 문항 분석 및 개발 기준서 확정,상시,approval_doc,단일 프로세스를 10단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 분석,V2-L6-0721,진단/검정 문항 분석 및 개발,중간 진단/검정 문항 분석 및 개발 결과표 등록,상시,analysis_report,단일 프로세스를 10단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 분석,V2-L6-0722,진단/검정 문항 분석 및 개발,중간 진단/검정 문항 분석 및 개발 결과표 등록,상시,analysis_report,단일 프로세스를 10단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 분석,V2-L6-0723,진단/검정 문항 분석 및 개발,진단 확정,상시,approval_doc,단일 프로세스를 10단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 분석,V2-L6-0724,진단/검정 문항 분석 및 개발,진단 발행,상시,training_report,단일 프로세스를 10단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 개발,V2-L6-0725,진단/검정 문항 분석 및 개발,개발 수료 발행,상시,training_status,단일 프로세스를 10단계 성과활동으로 분해,교육
진단/검정 문항 분석 및 개발,진단/검정 문항 개발,V2-L6-0726,진단/검정 문항 분석 및 개발,개발 운영계획서 확정,상시,approval_doc,단일 프로세스를 10단계 성과활동으로 분해,교육
