[AS-IS] L3,[AS-IS] L4,[AS-IS] L5,[AS-IS] L6,[TO-BE] L3,[TO-BE] L4,[TO-BE] L5,[TO-BE] L6,추천 주체,전략 사유
채용,채용계획,직무기술서 작성,직무기술서 작성 요청,채용,채용계획,직무기술서 작성,직무기술서 작성 요청 분석 결과/기안서 확정,HR,인사적 통찰이 포함된 최종안 확정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,발굴 기준 확정 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정,채용,인재발굴,인재 소싱 채널 선정 및 액팅,소싱 채널 선정 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 발굴 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축,채용,인재발굴,인재 소싱 채널 선정 및 액팅,후보자 풀 구축 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,HR 서류 검토 진행 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,HR 서류 검토 진행 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,서류심사,HR 서류 검토 진행,채용,선발전형,서류심사,HR 서류 검토 진행 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,서류심사,진행의사 확인,채용,선발전형,서류심사,진행의사 확인 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,선발전형,서류심사,진행의사 확인,채용,선발전형,서류심사,진행의사 확인 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,선발전형,서류심사,진행의사 확인,채용,선발전형,서류심사,진행의사 확인 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류심사,현업 서류 검토 진행 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류심사,현업 서류 검토 진행 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,서류심사,현업 서류 검토 진행,채용,선발전형,서류심사,현업 서류 검토 진행 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류심사,서류 검토 결과안내 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,서류심사,서류 검토 결과안내,채용,선발전형,서류심사,서류 검토 결과안내 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 대상자 선정 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 일정/장소 확정 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 위원 선발/교육 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 준비 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 운영 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리,채용,선발전형,"자격 검증(GSAT, 코딩 테스트 등)",검정 후속처리 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 선발/교육 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 선발/교육 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,면접,면접위원 선발/교육,채용,선발전형,면접,면접위원 선발/교육 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접,면접일정 조율 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,면접,면접일정 조율,채용,선발전형,면접,면접일정 조율 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접운영 준비 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접운영 준비 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,선발전형,면접,면접운영 준비,채용,선발전형,면접,면접운영 준비 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 운영 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 운영 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,선발전형,면접,면접 운영,채용,선발전형,면접,면접 운영 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 후속처리 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,면접,면접 후속처리,채용,선발전형,면접,면접 후속처리 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,채용 및 처우 승인,중복확인,채용,선발전형,채용 및 처우 승인,중복확인 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,채용 및 처우 승인,중복확인,채용,선발전형,채용 및 처우 승인,중복확인 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,채용 및 처우 승인,후보자 종합 검증,채용,선발전형,채용 및 처우 승인,후보자 종합 검증 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,채용 및 처우 승인,후보자 종합 검증,채용,선발전형,채용 및 처우 승인,후보자 종합 검증 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,채용 및 처우 승인,채용 승인,채용,선발전형,채용 및 처우 승인,채용 승인 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,채용 및 처우 승인,채용 승인,채용,선발전형,채용 및 처우 승인,채용 승인 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,채용 및 처우 승인,채용 승인,채용,선발전형,채용 및 처우 승인,채용 승인 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,채용 및 처우 승인,처우 협의/승인 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,채용 및 처우 승인,처우 협의/승인 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,선발전형,채용 및 처우 승인,처우 협의/승인,채용,선발전형,채용 및 처우 승인,처우 협의/승인 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,채용 및 처우 승인,오퍼 확보 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,채용 및 처우 승인,오퍼 확보,채용,선발전형,채용 및 처우 승인,오퍼 확보 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,채용 및 처우 승인,건강검진,채용,선발전형,채용 및 처우 승인,건강검진 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,선발전형,채용 및 처우 승인,건강검진,채용,선발전형,채용 및 처우 승인,건강검진 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 및 처우 승인,채용 품의 진행 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 및 처우 승인,채용 품의 진행 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,선발전형,채용 및 처우 승인,채용 품의 진행,채용,선발전형,채용 및 처우 승인,채용 품의 진행 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록,채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록 증빙 데이터 대조,Digital Worker,시스템 데이터와 입력값 대조
채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록,채용,채용 후속조치,선확보 인력 관리,선확보 인력 등록 시스템 등록,Digital Worker,확정값의 기계적 적재
채용,채용 후속조치,선확보 인력 관리,활동 지원/평가,채용,채용 후속조치,선확보 인력 관리,활동 지원/평가 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
채용,채용 후속조치,선확보 인력 관리,활동 지원/평가,채용,채용 후속조치,선확보 인력 관리,활동 지원/평가 결과 확정,HR,정성적 판단 및 최종 의사결정
채용,채용 후속조치,선확보 인력 관리,활동 지원/평가,채용,채용 후속조치,선확보 인력 관리,활동 지원/평가 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
채용,채용 후속조치,선확보 인력 관리,지원금 지급,채용,채용 후속조치,선확보 인력 관리,지원금 지급 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,채용 후속조치,선확보 인력 관리,지원금 지급,채용,채용 후속조치,선확보 인력 관리,지원금 지급 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,채용 후속조치,선확보 인력 관리,리텐션 진행,채용,채용 후속조치,선확보 인력 관리,리텐션 진행 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,채용 후속조치,선확보 인력 관리,리텐션 진행,채용,채용 후속조치,선확보 인력 관리,리텐션 진행 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,채용 후속조치,선확보 인력 관리,리텐션 진행,채용,채용 후속조치,선확보 인력 관리,리텐션 진행 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행,채용,채용 후속조치,입사 및 온보딩,입사 전 O/T 진행 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자),채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자) 문구 및 대상자 확정,HR,안내 내용의 적절성 검토
채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자),채용,채용 후속조치,입사 및 온보딩,입사절차 안내(입사자) 알림 발송,Digital Worker,시스템을 통한 일괄 전송
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,입사 및 온보딩,입사발령(Workday) 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,채용 후속조치,입사 및 온보딩,입사발령(Workday),채용,채용 후속조치,입사 및 온보딩,입사발령(Workday) 최종 결과 확정,HR,담당자 최종 검토 및 확정
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,입사 전 준비 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,입사 전 준비 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,채용 후속조치,입사 및 온보딩,입사 전 준비,채용,채용 후속조치,입사 및 온보딩,입사 전 준비 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,입문교육 진행 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,입문교육 진행 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,채용 후속조치,입사 및 온보딩,입문교육 진행,채용,채용 후속조치,입사 및 온보딩,입문교육 진행 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행 일정 및 자원 확정,HR,복잡한 일정 조율 및 기획
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행 참석 안내문 발송,Digital Worker,대상자 대량 알림
채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행,채용,채용 후속조치,입사 및 온보딩,멘토링/면담 진행 결과 리포트 취합,Digital Worker,실행 결과의 기계적 수합
채용,채용 후속조치,입사 및 온보딩,비용 지급/관리,채용,채용 후속조치,입사 및 온보딩,비용 지급/관리 기초 자료 취합,Digital Worker,단순 데이터 수집
채용,채용 후속조치,입사 및 온보딩,비용 지급/관리,채용,채용 후속조치,입사 및 온보딩,비용 지급/관리 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합,인력운영,인력이동,사내 Job Posting,사업부문(부서별) J/P 부서 수요 취합 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토,인력운영,인력이동,사내 Job Posting,J/P 운영 타당성 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시,인력운영,인력이동,사내 Job Posting,Post 확정 후 J/P 실시 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토,인력운영,인력이동,사내 Job Posting,지원자 지원 자격 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,지원서 평가,인력운영,인력이동,사내 Job Posting,지원서 평가 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,지원서 평가,인력운영,인력이동,사내 Job Posting,지원서 평가 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,지원서 평가,인력운영,인력이동,사내 Job Posting,지원서 평가 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정,인력운영,인력이동,사내 Job Posting,지원서 평가결과 검토 후 면접 대상자 확정 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,서류 합불 통보,인력운영,인력이동,사내 Job Posting,서류 합불 통보 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,사내 Job Posting,서류 합불 통보,인력운영,인력이동,사내 Job Posting,서류 합불 통보 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 진행 및 평가 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 진행 및 평가 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,면접 진행 및 평가,인력운영,인력이동,사내 Job Posting,면접 진행 및 평가 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접평가 결과 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접평가 결과 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,면접평가 결과 검토,인력운영,인력이동,사내 Job Posting,면접평가 결과 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토,인력운영,인력이동,사내 Job Posting,사업부간/부서간 인력 적정성 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,사내 Job Posting,면접 합불 통보,인력운영,인력이동,사내 Job Posting,면접 합불 통보 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,사내 Job Posting,면접 합불 통보,인력운영,인력이동,사내 Job Posting,면접 합불 통보 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,사내 Job Posting,전배발령 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,사내 Job Posting,전배발령,인력운영,인력이동,사내 Job Posting,전배발령 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,사내 Job Posting,실이동 관리,인력운영,인력이동,사내 Job Posting,실이동 관리 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,사내 Job Posting,실이동 관리,인력운영,인력이동,사내 Job Posting,실이동 관리 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,개별 전배,충원 요청,인력운영,인력이동,개별 전배,충원 요청 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,개별 전배,충원 요청,인력운영,인력이동,개별 전배,충원 요청 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,개별 전배,충원 타당성 검토,인력운영,인력이동,개별 전배,충원 타당성 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,개별 전배,충원 타당성 검토,인력운영,인력이동,개별 전배,충원 타당성 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,개별 전배,충원 타당성 검토,인력운영,인력이동,개별 전배,충원 타당성 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축,인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축,인력운영,인력이동,개별 전배,적합 인력 서칭 및 Pool 구축 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,개별 전배,타겟 인력 할애 요청,인력운영,인력이동,개별 전배,타겟 인력 할애 요청 기초 자료 취합,Digital Worker,단순 데이터 수집
인력운영,인력이동,개별 전배,타겟 인력 할애 요청,인력운영,인력이동,개별 전배,타겟 인력 할애 요청 최종 결과 확정,HR,담당자 최종 검토 및 확정
인력운영,인력이동,개별 전배,할애 가능 여부 검토,인력운영,인력이동,개별 전배,할애 가능 여부 검토 대상자/기준 취합,Digital Worker,시스템 및 메일 데이터 기초 수합
인력운영,인력이동,개별 전배,할애 가능 여부 검토,인력운영,인력이동,개별 전배,할애 가능 여부 검토 결과 확정,HR,정성적 판단 및 최종 의사결정
인력운영,인력이동,개별 전배,할애 가능 여부 검토,인력운영,인력이동,개별 전배,할애 가능 여부 검토 결과 통보 발송,Digital Worker,확정 결과의 시스템 일괄 발송
